replicate,reference_seed,label_seed,scale,selected_basis,selected_regularization,normalized_rmse,median_direction_error_deg,calibration_slope_x,calibration_slope_y,calibration_slope_z
1,20260805,20260804,fine,512.0,0.01,0.25607482172910384,10.369818395979223,0.9439086400736245,0.9368919862122292,0.921784686940488
1,20260805,20260804,fiducial,512.0,0.01,0.13460213997676193,5.6033087310708485,0.9847003664024515,0.9735034518193533,0.9751262949793291
1,20260805,20260804,coarse,512.0,0.01,0.08236990434593854,3.345672351526825,0.9931231381968103,0.991975519534212,0.9874641047191259
2,20260815,20260814,fine,512.0,0.01,0.2559147774436485,10.064938988517468,0.956861842090483,0.9483585274929335,0.9264118626930703
2,20260815,20260814,fiducial,512.0,0.01,0.13581940841806744,5.785098470628264,0.9867088191642132,0.9883500794927819,0.9788693402395402
2,20260815,20260814,coarse,512.0,0.01,0.08851493670876952,3.430304025599661,0.9963203053697869,0.9906004625239606,0.9907714878102881
3,20260825,20260824,fine,512.0,0.01,0.24809744448679458,9.598792906175191,0.9617635137413695,0.9205845259957884,0.9100164675406496
3,20260825,20260824,fiducial,512.0,0.01,0.1286572658174898,4.715135115799131,0.9889042840396722,0.980496179179304,0.9697306439858143
3,20260825,20260824,coarse,512.0,0.01,0.07847588865170012,3.0699247287621976,0.9974649934620156,0.9930452552130876,0.9872191780761234
4,20260905,20260904,fine,512.0,0.01,0.24803948011126212,10.298989349823394,0.9624278153753721,0.9303680783885533,0.9198087210810251
4,20260905,20260904,fiducial,512.0,0.01,0.13344629852585532,5.590211960243762,0.9870089296664968,0.9796024009102774,0.9716675810510821
4,20260905,20260904,coarse,512.0,0.01,0.0823148957404376,3.3252427974326313,0.9952896957737095,0.9933451208524662,0.9884643440860542
5,20260915,20260914,fine,512.0,0.01,0.2483356730265954,10.540410502261423,0.9628143963598248,0.9289758744264451,0.94348377535186
5,20260915,20260914,fiducial,512.0,0.01,0.12790396886408906,5.280580662853687,0.9890895308108008,0.9790432830078803,0.9919569228194977
5,20260915,20260914,coarse,512.0,0.01,0.08400542812429247,3.2557092811666153,0.9954320751060198,0.990375888068857,0.9953636790417948
