replicate,scale,n_basis,selected_normalized_rmse,local_normalized_rmse,diffusion_minus_local_nrmse
1,coarse,256,0.1411592608411583,0.1177743030167134,0.023384957824444885
2,coarse,256,0.1460129500131917,0.124485317688263,0.0215276323249287
3,coarse,256,0.1356901174793567,0.1201037180034457,0.015586399475910992
4,coarse,256,0.1419754483968351,0.1260658734007363,0.015909574996098796
5,coarse,256,0.1407421013361355,0.1169683057624706,0.023773795573664894
1,coarse,384,0.102011567358108,0.1177743030167134,-0.015762735658605406
2,coarse,384,0.107662232849775,0.124485317688263,-0.016823084838488003
3,coarse,384,0.0970662866595752,0.1201037180034457,-0.0230374313438705
4,coarse,384,0.1016726886199114,0.1260658734007363,-0.024393184780824903
5,coarse,384,0.0999826374922895,0.1169683057624706,-0.016985668270181095
1,coarse,512,0.0823699043459384,0.1177743030167134,-0.03540439867077501
2,coarse,512,0.0885149367087693,0.124485317688263,-0.035970380979493705
3,coarse,512,0.0784758886517,0.1201037180034457,-0.04162782935174571
4,coarse,512,0.0823148957404376,0.1260658734007363,-0.0437509776602987
5,coarse,512,0.0840054281242922,0.1169683057624706,-0.0329628776381784
1,coarse,640,0.0715488609425612,0.1177743030167134,-0.046225442074152204
2,coarse,640,0.0790706557737043,0.124485317688263,-0.0454146619145587
3,coarse,640,0.0683734347186952,0.1201037180034457,-0.0517302832847505
4,coarse,640,0.0730202601302062,0.1260658734007363,-0.053045613270530104
5,coarse,640,0.0737704615774104,0.1169683057624706,-0.04319784418506019
1,coarse,768,0.0655808875290069,0.1177743030167134,-0.05219341548770651
2,coarse,768,0.0725358209907823,0.124485317688263,-0.051949496697480696
3,coarse,768,0.0629156055739696,0.1201037180034457,-0.05718811242947611
4,coarse,768,0.0666587426046869,0.1260658734007363,-0.059407130796049396
5,coarse,768,0.0681616951731209,0.1169683057624706,-0.048806610589349694
1,coarse,896,0.0620215713130275,0.1177743030167134,-0.05575273170368591
2,coarse,896,0.0688107046898452,0.124485317688263,-0.055674612998417805
3,coarse,896,0.0606789083765788,0.1201037180034457,-0.0594248096268669
4,coarse,896,0.0630378715225345,0.1260658734007363,-0.0630280018782018
