scale,n_basis,n_replicates,diffusion_nrmse_mean,local_nrmse_mean,mean_diffusion_minus_local,std_diffusion_minus_local,diffusion_win_count
coarse,256,5,0.14111597561333547,0.1210795035743258,0.020036472039009653,0.004007428361052814,0
coarse,384,5,0.10167908259593181,0.1210795035743258,-0.019400420978393982,0.003995684593756754,5
coarse,512,5,0.0831362107142275,0.1210795035743258,-0.0379432928600983,0.0045400416482864435,5
coarse,640,5,0.07315673462851546,0.1210795035743258,-0.04792276894581034,0.004249621536112511,5
coarse,768,5,0.06717055037431333,0.1210795035743258,-0.053908953200012474,0.004295325414738155,5
coarse,896,5,0.06371214030107859,0.1210795035743258,-0.05736736327324721,0.003911606302842647,5
coarse,1024,5,0.06074506022659996,0.1210795035743258,-0.06033444334772584,0.0037873303080169208,5
coarse,1280,5,0.058085147015215166,0.1210795035743258,-0.06299435655911063,0.0033563435625859647,5
coarse,1536,5,0.05698294750380205,0.1210795035743258,-0.06409655607052375,0.0036422478621980776,5
coarse,1792,5,0.05683410950357888,0.1210795035743258,-0.06424539407074692,0.003204719373939607,5
coarse,2048,5,0.05852567717042913,0.1210795035743258,-0.06255382640389667,0.00231214559735651,5
fiducial,256,5,0.2306160813730191,0.15645026398900624,0.07416581738401284,0.008165755387012997,0
fiducial,384,5,0.16858583784474537,0.15645026398900624,0.012135573855739129,0.007949377307446194,0
fiducial,512,5,0.13208581632045263,0.15645026398900624,-0.024364447668553623,0.005716117434329139,5
fiducial,640,5,0.10610047253034778,0.15645026398900624,-0.050349791458658456,0.004940303230963355,5
fiducial,768,5,0.09152146024985644,0.15645026398900624,-0.0649288037391498,0.004751730063990668,5
fiducial,896,5,0.08295266506934891,0.15645026398900624,-0.07349759891965733,0.005448161195116444,5
fiducial,1024,5,0.07736729292866425,0.15645026398900624,-0.07908297106034198,0.004681313425150739,5
fiducial,1280,5,0.07169379842629346,0.15645026398900624,-0.08475646556271278,0.00427184082896263,5
fiducial,1536,5,0.07050837577595978,0.15645026398900624,-0.08594188821304645,0.004330836446330292,5
fiducial,1792,5,0.07226343324405989,0.15645026398900624,-0.08418683074494636,0.004479034024254459,5
fiducial,2048,5,0.075325902145436,0.15645026398900624,-0.08112436184357023,0.004399691050869219,5
fine,256,5,0.36291391081930485,0.2196988029266526,0.14321510789265227,0.014343086662872834,0
fine,384,5,0.2967847425954303,0.2196988029266526,0.0770859396687777,0.014575958566479929,0
fine,512,5,0.25129243935948076,0.2196988029266526,0.03159363643282822,0.010107723732224396,0
fine,640,5,0.21476834226452723,0.2196988029266526,-0.004930460662125336,0.009286383139050234,4
fine,768,5,0.19469456471689123,0.2196988029266526,-0.02500423820976136,0.005744696762268288,5
fine,896,5,0.1778931955836734,0.2196988029266526,-0.041805607342979174,0.006828066390679094,5
fine,1024,5,0.16669165168780037,0.2196988029266526,-0.05300715123885221,0.006656592984292828,5
fine,1280,5,0.15232107424725094,0.2196988029266526,-0.06737772867940164,0.0063646077853817574,5
fine,1536,5,0.1464044379106491,0.2196988029266526,-0.07329436501600348,0.00611322399629613,5
fine,1792,5,0.14617338627016227,0.2196988029266526,-0.0735254166564903,0.006297210060075645,5
fine,2048,5,0.1496934470023565,0.2196988029266526,-0.07000535592429605,0.0073336364167385865,5
