comparison,quantity,value
m2048_vs_m1024,stationary_max_abs_difference,0.0
m2048_vs_m1024,markov_eigenvalue_max_abs_difference,9.769962616701378e-15
m2048_vs_m1024,generator_eigenvalue_max_abs_difference,2.7075564013046005e-14
m2048_vs_m1024,first_64_mode_correlation_median,1.0000000000000002
m2048_vs_m1024,first_64_mode_correlation_minimum,0.9999999999999996
m2048_vs_m1024,first_64_subspace_minimum_singular_value,0.9999999999999997
m2048_vs_legacy_m512,stationary_max_abs_difference,0.0
m2048_vs_legacy_m512,markov_eigenvalue_max_abs_difference,9.547918011776346e-15
m2048_vs_legacy_m512,generator_eigenvalue_max_abs_difference,2.6548208076349056e-14
m2048_vs_legacy_m512,first_64_mode_correlation_median,1.0000000000000002
m2048_vs_legacy_m512,first_64_mode_correlation_minimum,0.9999999999999992
m2048_vs_legacy_m512,first_64_subspace_minimum_singular_value,0.9999999999999997
