scale,n_basis,selected_regularization,count
coarse,256,0.01,4
coarse,256,0.0001,1
coarse,384,0.01,5
coarse,512,0.01,5
coarse,640,0.01,5
coarse,768,0.01,5
coarse,896,0.01,5
coarse,1024,0.01,5
coarse,1280,0.01,5
coarse,1536,0.01,5
coarse,1792,0.01,5
coarse,2048,0.01,5
fiducial,256,0.01,5
fiducial,384,0.01,5
fiducial,512,0.01,5
fiducial,640,0.01,5
fiducial,768,0.01,5
fiducial,896,0.01,5
fiducial,1024,0.01,5
fiducial,1280,0.01,5
fiducial,1536,0.01,5
fiducial,1792,0.01,5
fiducial,2048,0.01,5
fine,256,0.01,5
fine,384,0.01,5
fine,512,0.01,5
fine,640,0.01,5
fine,768,0.01,5
fine,896,0.01,5
fine,1024,0.01,5
fine,1280,0.01,5
fine,1536,0.01,5
fine,1792,0.01,5
fine,2048,0.01,5
