scale,n_basis,n_replicates,mean_nrmse_difference,std_nrmse_difference,improvement_count,mean_direction_difference_deg,mean_vector_gain_difference
coarse,256,5,0.08037091538673549,0.002111449812603554,0,3.540118561610842,-0.013843425798181031
coarse,384,5,0.04093402236933187,0.0020966673886874225,0,1.8093633466466694,-0.004827132758970287
coarse,512,5,0.02239115048762754,0.0014820746010482792,0,0.9577785473439591,-0.00272939714398992
coarse,640,5,0.012411674401915507,0.001566344722633481,0,0.5297419020561076,-0.001368306763439353
coarse,768,5,0.0064254901477133666,0.0012307945278544675,0,0.30012133687496156,-0.0010799413365228494
coarse,896,5,0.0029670800744786437,0.0005618834035317627,0,0.14763825185524349,-0.0005649749057536901
coarse,1024,5,0.0,0.0,0,0.0,0.0
coarse,1280,5,-0.0026599132113847845,0.0006237530877752547,5,-0.09475144499951291,0.0009755299656008853
coarse,1536,5,-0.0037621127227979016,0.0017206706689307126,5,-0.21414303333519671,0.0008486355467816953
coarse,1792,5,-0.00391095072302107,0.0016887827065468679,5,-0.2728296794254431,0.00037467853383332805
coarse,2048,5,-0.002219383056170826,0.0017212138655287956,5,-0.2515657940411587,0.00020572071285922532
fiducial,256,5,0.15324878844435483,0.00538374371827591,0,7.044427279126867,-0.04169456931870548
fiducial,384,5,0.09121854491608113,0.005141841260791596,0,4.089692707253072,-0.019073517528556592
fiducial,512,5,0.05471852339178838,0.0025524160111868146,0,2.370608275638734,-0.010411302992333393
fiducial,640,5,0.028733179601683534,0.0030470892352860274,0,1.2219375782412734,-0.004960565117066195
fiducial,768,5,0.014154167321192197,0.0015845726347518648,0,0.5828744191211042,-0.002620309093132289
fiducial,896,5,0.005585372140684658,0.001235416575784103,0,0.1569761582495019,-0.0012103215565800074
fiducial,1024,5,0.0,0.0,0,0.0,0.0
fiducial,1280,5,-0.005673494502370782,0.0006331592288256362,5,-0.28685700665884195,0.000929538180709577
fiducial,1536,5,-0.0068589171527044576,0.0009871837756500327,5,-0.34174644803011506,0.0014140039557711814
fiducial,1792,5,-0.005103859684604364,0.0010439046099801326,5,-0.4401537474845198,0.0015893755042517333
fiducial,2048,5,-0.002041390783228242,0.000847418073475818,5,-0.33272188288023685,0.0006739509989052595
fine,256,5,0.19622225913150448,0.008426832461765559,0,9.33339356416092,-0.09690968078431636
fine,384,5,0.13009309090762994,0.009347009059829872,0,5.760226882532249,-0.05627200469764906
fine,512,5,0.08460078767168043,0.00724923032610678,0,3.7606551150301124,-0.03433441221073672
fine,640,5,0.04807669057672688,0.0076394953106006126,0,2.261362194061894,-0.01811791186202829
fine,768,5,0.028002913029090852,0.004377625182981394,0,1.3104553907258103,-0.00965331299703276
fine,896,5,0.01120154389587304,0.00340278868019198,0,0.6326656046986106,-0.003475362674890836
fine,1024,5,0.0,0.0,0,0.0,0.0
fine,1280,5,-0.014370577440549426,0.003272758008577498,5,-0.9000073161747878,0.004025594578260861
fine,1536,5,-0.020287213777151265,0.005541112791508998,5,-1.214222174563114,0.006526506083708838
fine,1792,5,-0.0205182654176381,0.008312044912222035,5,-1.3384524284950965,0.008215776075486514
fine,2048,5,-0.01699820468544384,0.004105641769255077,5,-1.3420520121123265,0.0066648276869241355
