scale,n_basis,previous_n_basis,validation_relative_improvement_from_previous,test_relative_improvement_from_previous,below_validation_plateau_threshold
fine,256,,,,False
fine,384,256.0,0.17195993682480243,0.1822172318349084,False
fine,512,384.0,0.1376529533362491,0.15328383406138751,False
fine,640,512.0,0.14519708744052084,0.145344990036508,False
fine,768,640.0,0.09737032738361308,0.09346711594445055,False
fine,896,768.0,0.08293867670219018,0.08629603583258218,False
fine,1024,896.0,0.04904023677055451,0.06296780413168919,False
fine,1280,1024.0,0.059440381464146576,0.08621054081019201,False
fine,1536,1280.0,0.025577772980687717,0.0388431894000289,False
fine,1792,1536.0,-0.0035925560662076585,0.0015781737479015432,True
fine,2048,1792.0,-0.04384804807783869,-0.024081406485913996,True
fiducial,256,,,,False
fiducial,384,256.0,0.26026584198004254,0.2689762273253635,False
fiducial,512,384.0,0.20507423984106754,0.21650704466591353,False
fiducial,640,512.0,0.19179667580965887,0.19673076575506002,False
fiducial,768,640.0,0.12684228067567377,0.13740760934237428,False
fiducial,896,768.0,0.09386769606724826,0.09362607586367669,False
fiducial,1024,896.0,0.06443070146171768,0.06733203973633951,False
fiducial,1280,1024.0,0.051442371359155546,0.0733319505905679,False
fiducial,1536,1280.0,-0.013428818530482957,0.01653452148378454,True
fiducial,1792,1536.0,-0.056198540312363605,-0.024891474931670474,True
fiducial,2048,1792.0,-0.07858444847993079,-0.042379233367352484,True
coarse,256,,,,False
coarse,384,256.0,0.2785266908454248,0.27946441107038505,False
coarse,512,384.0,0.16862101182342432,0.18236663243110582,False
coarse,640,512.0,0.12216094131833649,0.12003765868058969,False
coarse,768,640.0,0.062410677787177515,0.08182683774227406,False
coarse,896,768.0,0.05014541334379549,0.051486999197750336,False
coarse,1024,896.0,0.03683200507071989,0.04657008947521448,False
coarse,1280,1024.0,0.03814574292362863,0.04378814016254821,False
coarse,1536,1280.0,-0.006735572624940694,0.01897558271005842,True
coarse,1792,1536.0,-0.022628185027718278,0.0026119744018722317,True
coarse,2048,1792.0,-0.04972960902722593,-0.029763247486858702,True
