n_basis,n_affine_modes,n_diffusion_modes,protocol,n_observations,numerical_rank,nullity,condition_number,coefficient_relative_error,relative_design_residual,rmse_radial,reference_rms_radial,nrmse_radial,rmse_tangential,reference_rms_tangential,nrmse_tangential,rmse_3d,reference_rms_3d,nrmse_3d,predicted_rms_3d,predicted_to_reference_rms_3d,predicted_rms_tangential,predicted_to_reference_rms_tangential,direction_error_median_deg,direction_error_p90_deg,radial_correlation,radial_mean_bias,closure_status
3,3,0,train_only,3500,3,0,1.0294134473719978,9.389606396386181e-16,9.4451318759979e-16,2.3148332277738467e-13,244.68434962015516,9.460487486704253e-16,3.2926052551891543e-13,334.1437273246845,9.85385924060684e-16,3.9992890150046743e-13,414.1527030691354,9.65655659221199e-16,414.1527030691356,1.0000000000000004,334.1437273246847,1.0000000000000004,0.0,0.0,1.0,-3.848773152033876e-16,pass
3,3,0,train_plus_validation,4250,3,0,1.0309572408353862,5.662145699260734e-16,5.687161299427457e-16,1.3399242659070485e-13,244.68434962015516,5.476133916971517e-16,1.891216866050399e-13,334.1437273246845,5.659890374697114e-16,2.278173318171838e-13,414.1527030691354,5.500805140927784e-16,414.15270306913544,1.0000000000000002,334.14372732468456,1.0000000000000002,0.0,0.0,1.0,-2.7533531010703883e-15,pass
35,3,32,train_only,3500,35,0,13.582047736952402,1.748877665883644e-15,1.6177223423959683e-15,2.5612958218159374e-13,164.76606053513777,1.5545044977692594e-15,6.505226025141038e-13,396.1292177063148,1.6421979834781918e-15,6.977539793680786e-13,429.02938340501294,1.626354758805375e-15,429.02938340501333,1.0000000000000009,396.1292177063151,1.0000000000000007,0.0,1.2074182697257333e-06,0.9999999999999998,-4.5114726769194626e-14,pass
35,3,32,train_plus_validation,4250,35,0,13.693003991735665,1.4759422824396735e-15,1.4116706197109239e-15,2.3661007309725814e-13,164.76606053513777,1.436036476983068e-15,5.19852705405573e-13,396.1292177063148,1.312331133804387e-15,5.702752207444792e-13,429.02938340501294,1.3292218267626839e-15,429.02938340501277,0.9999999999999996,396.12921770631465,0.9999999999999996,0.0,1.2074182697257333e-06,1.0,-3.6507685763353947e-14,pass
131,3,128,train_only,3500,131,0,23.618937585209537,3.4528513846100884e-15,2.1990620891374878e-15,4.757350426780561e-13,211.92993118188193,2.2447751482058103e-15,1.0913477263516179e-12,336.4678924679448,3.2435419568468637e-15,1.1897524695942512e-12,397.64926555015495,2.9919644588006646e-15,397.649265550155,1.0000000000000002,336.4678924679448,1.0,0.0,8.537736462515939e-07,1.0,-7.390473418430095e-14,pass
131,3,128,train_plus_validation,4250,131,0,23.577388229176655,3.2592043783078726e-15,3.0950019870170696e-15,6.505977410326824e-13,211.92993118188193,3.069871902493698e-15,1.3627923006985143e-12,336.4678924679448,4.0502892882367585e-15,1.5100453172247572e-12,397.64926555015495,3.797430167853026e-15,397.64926555015506,1.0000000000000002,336.4678924679448,1.0,0.0,1.2074182697257333e-06,1.0,4.3029283839738736e-15,pass
259,3,256,train_only,3500,259,0,40.82115398921566,3.4233651709637667e-15,2.392569019055916e-15,5.740607675942823e-13,228.05013173223094,2.5172568997606446e-15,1.2565962972928941e-12,328.7956566110797,3.821815379937563e-15,1.3816439264223785e-12,400.1417828587749,3.4528859159654734e-15,400.1417828587749,1.0,328.7956566110798,1.0000000000000002,0.0,1.2074182697257333e-06,0.9999999999999999,-9.398230342109552e-14,pass
259,3,256,train_plus_validation,4250,259,0,40.243178140264575,3.780866735355864e-15,2.4254566970450667e-15,5.935509822572798e-13,228.05013173223094,2.60272150578807e-15,1.3236455396351413e-12,328.7956566110797,4.025739127085955e-15,1.449161095635267e-12,400.1417828587749,3.62161903033938e-15,400.14178285877483,0.9999999999999999,328.79565661107966,0.9999999999999998,0.0,1.2074182697257333e-06,1.0,3.269680822389394e-14,pass
514,3,511,train_only,3500,514,0,104.58057683177559,7.049930552919911e-15,3.1992278202185702e-15,8.356587836154701e-13,236.86616729746734,3.5279786604813495e-15,1.7807734365154596e-12,334.1469015883313,5.329313029840304e-15,1.96622971216604e-12,409.58483010394036,4.800543300558934e-15,409.5848301039405,1.0000000000000002,334.14690158833133,1.0000000000000002,0.0,8.537736462515939e-07,1.0,1.757645880691901e-14,pass
514,3,511,train_plus_validation,4250,514,0,118.68929619276967,5.332254506363327e-15,2.81562192817986e-15,7.475098948918762e-13,236.86616729746734,3.1558322719559994e-15,1.868983144861087e-12,334.1469015883313,5.593297845878795e-15,2.012807487948993e-12,409.58483010394036,4.9142627851676114e-15,409.5848301039406,1.0000000000000007,334.14690158833133,1.0000000000000002,0.0,1.2074182697257333e-06,1.0,-8.949759452055635e-14,pass
