run_id,replicate,reference_seed,label_seed,scale,n_basis,n_diffusion_modes,regularization_strength,penalty_power,validation_nrmse_radial,test_nrmse_radial,test_nrmse_tangential,test_nrmse_3d,test_direction_error_median_deg
ref20260805_label20260804_fine,1,20260805,20260804,fine,514,511,1e-06,1.0,0.34697916848243293,0.3459628572769184,0.9148120322390567,0.7321293356472998,33.65125788057371
ref20260805_label20260804_fiducial,1,20260805,20260804,fiducial,514,511,1e-06,1.0,0.2414235317001396,0.24080815393058966,0.7759480444490037,0.598242100144298,26.529987336660625
ref20260805_label20260804_coarse,1,20260805,20260804,coarse,514,511,0.0001,2.0,0.1824037660758079,0.17873630983338518,0.6036809306969944,0.4544283204051891,21.75398430079312
ref20260815_label20260814_fine,2,20260815,20260814,fine,514,511,0.0001,2.0,0.3317754326999383,0.3434345990572791,0.8310709619822373,0.6711581684299226,32.930255430100075
ref20260815_label20260814_fiducial,2,20260815,20260814,fiducial,514,511,1e-06,1.0,0.23657818790784435,0.24559712095442704,0.7975000177370523,0.6241696972171368,27.868973550350933
ref20260815_label20260814_coarse,2,20260815,20260814,coarse,514,511,1e-06,1.0,0.17523391971289543,0.1795216131676596,0.6632295452415431,0.5107452083518879,22.73758485477829
ref20260825_label20260824_fine,3,20260825,20260824,fine,514,511,0.0001,2.0,0.3141148878002319,0.34233103804947235,0.7641145757690142,0.6292791034731593,32.47993172042611
ref20260825_label20260824_fiducial,3,20260825,20260824,fiducial,514,511,0.0001,2.0,0.2169881915989844,0.22556402595011593,0.6529671607766311,0.522023268811807,26.659439525651273
ref20260825_label20260824_coarse,3,20260825,20260824,coarse,514,511,1e-06,1.0,0.1690467364158419,0.16686056456861562,0.6047523559877117,0.47379599276244294,22.153159213021418
ref20260905_label20260904_fine,4,20260905,20260904,fine,514,511,0.0001,2.0,0.3207882334441475,0.32733730229255975,0.8150729255438535,0.655078542847889,33.37843831978867
ref20260905_label20260904_fiducial,4,20260905,20260904,fiducial,514,511,0.0001,2.0,0.2292600922236038,0.2361400525590746,0.6937866106744248,0.5401580052958037,28.425504054815214
ref20260905_label20260904_coarse,4,20260905,20260904,coarse,514,511,1e-06,1.0,0.17133815325512256,0.17509021495504545,0.6304714864853062,0.47907602869057125,23.45018285690727
ref20260915_label20260914_fine,5,20260915,20260914,fine,514,511,0.0001,2.0,0.35683997818815416,0.309061135152287,0.7787231800163952,0.6281808734976019,31.05212629201253
ref20260915_label20260914_fiducial,5,20260915,20260914,fiducial,514,511,0.0001,2.0,0.24097635237796364,0.21715856178848694,0.6540746497065454,0.5144776149397254,25.064615694605234
ref20260915_label20260914_coarse,5,20260915,20260914,coarse,514,511,0.0001,2.0,0.1847170285414035,0.17054307761842155,0.5690666465693828,0.43983749538363076,21.211777908761803
