replicate,reference_seed,label_seed,run_id,scale,n_reference,n_model,n_train,n_validation,n_test,median_reference_bandwidth,median_reference_dispersion,median_reference_effective_neighbors,reference_field_cache,reference_loaded_from_cache,affine_mode_scale
1,20260805,20260804,ref20260805_label20260804_fine,fine,5000,5000,3500,750,750,16.838535167146546,445.45942969074395,11.810525012124716,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260805_scale_fine.npz,True,0.06077222187538682
1,20260805,20260804,ref20260805_label20260804_fiducial,fiducial,5000,5000,3500,750,750,22.06847534394663,489.08542596298275,23.841978777153635,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260805_scale_fiducial.npz,True,0.06077222187538682
1,20260805,20260804,ref20260805_label20260804_coarse,coarse,5000,5000,3500,750,750,28.510020549124885,524.1259247405437,47.84093787799219,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260805_scale_coarse.npz,True,0.06077222187538682
2,20260815,20260814,ref20260815_label20260814_fine,fine,5000,5000,3500,750,750,16.905232797367496,444.62152791347825,11.903232999971078,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260815_scale_fine.npz,True,0.06059231720164633
2,20260815,20260814,ref20260815_label20260814_fiducial,fiducial,5000,5000,3500,750,750,22.056234252347238,492.9881357415708,23.977121377954106,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260815_scale_fiducial.npz,True,0.06059231720164633
2,20260815,20260814,ref20260815_label20260814_coarse,coarse,5000,5000,3500,750,750,28.392797694651627,530.6222617674025,47.871781217694505,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260815_scale_coarse.npz,True,0.06059231720164633
3,20260825,20260824,ref20260825_label20260824_fine,fine,5000,5000,3500,750,750,16.740591978946846,443.2293194097478,11.806695901185549,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260825_scale_fine.npz,True,0.06075228650099126
3,20260825,20260824,ref20260825_label20260824_fiducial,fiducial,5000,5000,3500,750,750,21.946568136468407,484.08290370199103,23.83007597127179,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260825_scale_fiducial.npz,True,0.06075228650099126
3,20260825,20260824,ref20260825_label20260824_coarse,coarse,5000,5000,3500,750,750,28.368331647028782,517.818241875541,47.78504720643687,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260825_scale_coarse.npz,True,0.06075228650099126
4,20260905,20260904,ref20260905_label20260904_fine,fine,5000,5000,3500,750,750,16.86315903700449,442.9626333186383,11.869788452490761,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260905_scale_fine.npz,True,0.060320047768131616
4,20260905,20260904,ref20260905_label20260904_fiducial,fiducial,5000,5000,3500,750,750,22.109387550496216,487.4909873486172,23.912643452109215,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260905_scale_fiducial.npz,True,0.060320047768131616
4,20260905,20260904,ref20260905_label20260904_coarse,coarse,5000,5000,3500,750,750,28.441942823364556,520.1610062018522,47.81810733817381,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260905_scale_coarse.npz,True,0.060320047768131616
5,20260915,20260914,ref20260915_label20260914_fine,fine,5000,5000,3500,750,750,16.839903603211532,445.56266406993086,11.825347773422074,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260915_scale_fine.npz,True,0.06081450533553055
5,20260915,20260914,ref20260915_label20260914_fiducial,fiducial,5000,5000,3500,750,750,21.978229667859928,487.33320442710345,23.827143780728115,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260915_scale_fiducial.npz,True,0.06081450533553055
5,20260915,20260914,ref20260915_label20260914_coarse,coarse,5000,5000,3500,750,750,28.57621465890755,526.3949987227684,47.90929577662617,<MOCK_DATA_ROOT>\mock1_bulk_robustness_cache\reference_seed_20260915_scale_coarse.npz,True,0.06081450533553055
