scale,model,model_label,n_replicates,nrmse_radial_mean,nrmse_radial_std,nrmse_radial_min,nrmse_radial_max,nrmse_tangential_mean,nrmse_tangential_std,nrmse_tangential_min,nrmse_tangential_max,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_min,nrmse_3d_max,direction_error_median_deg_mean,direction_error_median_deg_std,direction_error_median_deg_min,direction_error_median_deg_max,direction_error_p90_deg_mean,direction_error_p90_deg_std,direction_error_p90_deg_min,direction_error_p90_deg_max,predicted_to_reference_rms_3d_mean,predicted_to_reference_rms_3d_std,predicted_to_reference_rms_3d_min,predicted_to_reference_rms_3d_max
fine,potential_radial_validation_selected,Potential–radial CV,5,0.3336253863657033,0.01554963546469423,0.309061135152287,0.3459628572769184,0.8207587351101114,0.05907673364745228,0.7641145757690142,0.9148120322390567,0.6631652047791745,0.042595493342750874,0.6281808734976019,0.7321293356472998,32.698401928580225,1.022508277251522,31.05212629201253,33.65125788057371,78.58261812380371,5.899133963951368,71.79571064958172,84.82968389902236,0.9167499965113791,0.06120803893393685,0.8748372743912094,1.017719895795289
fine,potential_hidden_3d_validation_selected_diagnostic,Potential–3D diagnostic,5,0.33293158302530507,0.014926437355743912,0.309061135152287,0.3434345990572791,0.7970989200352399,0.0269404094661835,0.7641145757690142,0.8310709619822373,0.6459665866745719,0.018114055381397914,0.6281808734976019,0.6711581684299226,32.26269810974988,0.9781640062216761,31.05212629201253,33.37843831978867,77.0928853149108,4.9663192096081215,71.79571064958172,84.82968389902236,0.8929196055924645,0.02388474951579443,0.8748372743912094,0.9320856368124085
fine,potential_3d_oracle_validation_selected_diagnostic,Potential–3D oracle,5,0.40942622608507595,0.01701232384062115,0.38563238645987474,0.42650787819302594,0.43170431730076864,0.015413551807172748,0.4188114966532271,0.4573331064610982,0.4226445056754679,0.00968118177948018,0.408840016687077,0.4360008205524994,18.881111906483824,0.8173025020525032,18.14762590608938,20.104354982234213,47.221032640591545,1.4846225961510016,45.65364571544161,49.42647885723676,0.911721269920337,0.019055569323413235,0.8992707033412133,0.9452831601846048
fine,unconstrained_radial_validation_selected,Unconstrained–radial CV,5,0.173451846200656,0.022777416146505074,0.15233812820915568,0.2088625777954388,5.02056718013206,0.44184311173255425,4.387309388164319,5.466378215509447,3.8400524659843356,0.3486175361921562,3.3583205981867863,4.227182735218167,67.76266158909971,2.886084146548344,64.56926746857494,72.25199508737668,127.29310186463412,1.0341258190971638,126.00355275747503,128.3647675824996,3.9485055498442287,0.3433797358098791,3.480708338121805,4.308832236301914
fine,cartesian_3d_oracle,Cartesian–3D oracle,5,0.23135817741922846,0.01580673028339478,0.21191930658761501,0.2541056784088128,0.2643695506241528,0.011765077230207756,0.2439651760764462,0.27244507219275255,0.25129243935948087,0.004294455546049332,0.24803948011126206,0.25607482172910384,10.17459002855133,0.3643417359719259,9.598792906175174,10.540410502261423,28.54877952992963,1.3351128168625945,27.521760725912923,30.649068513467093,0.9729824363328545,0.005456824890239997,0.9676092655410109,0.9790182017081467
fine,zero_vector_baseline,Zero baseline,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0
fiducial,potential_radial_validation_selected,Potential–radial CV,5,0.23305358303653886,0.011573084865202431,0.21715856178848694,0.24559712095442704,0.7148552966687315,0.06806392526638501,0.6529671607766311,0.7975000177370523,0.5598141372817542,0.04870384981393384,0.5144776149397254,0.6241696972171368,26.909704032416652,1.3066192810696087,25.064615694605234,28.425504054815214,65.6733951205587,3.3864836242679885,61.160878698312594,69.59922571316216,0.9385261662791352,0.06838135595388452,0.8799303597349432,1.0244962156000323
fiducial,potential_hidden_3d_validation_selected_diagnostic,Potential–3D diagnostic,5,0.2344463768545595,0.013493250760395412,0.21715856178848694,0.2515881274540792,0.6823098012132592,0.02732881020460778,0.6529671607766311,0.7135722864898633,0.5366387970499428,0.019425325116497884,0.5144776149397254,0.5642043167189809,26.477333094172998,1.3875708158886508,25.064615694605234,28.425504054815214,63.68588024540806,1.755793693276294,61.160878698312594,66.06272612163035,0.9037792703051455,0.023353198342567754,0.8799303597349432,0.9393880969927118
fiducial,potential_3d_oracle_validation_selected_diagnostic,Potential–3D oracle,5,0.30907302401254916,0.018671064690231793,0.2901119849143104,0.3402851710951754,0.33457852697024903,0.012457714509520169,0.32120721579391337,0.35212027294335785,0.3237910459649507,0.011791879964763045,0.31000140026316486,0.33791917651765735,14.509110188517656,0.655643643919106,13.81256417264898,15.237597764401615,35.41466205314616,1.6178352477927596,33.65871778544611,37.020911315356166,0.9515331871895721,0.010573683541689052,0.9422568837282299,0.9692183062920935
fiducial,unconstrained_radial_validation_selected,Unconstrained–radial CV,5,0.07735499460548027,0.006639886196997695,0.07109597354748476,0.08798988114976253,2.4413581319660045,0.13677782345122946,2.3121235340699484,2.593318904431347,1.8412018440951314,0.1240875153163665,1.7172663992216084,1.9872298957707633,56.17186327810832,1.8712910883109677,54.15357730327821,58.4250350097371,116.97726446185042,1.3939864006540001,115.54774212707083,119.29656576780391,2.010625634166119,0.13371124782586688,1.8592530914487233,2.161144097069284
fiducial,cartesian_3d_oracle,Cartesian–3D oracle,5,0.11799092073264117,0.006475644765816469,0.11169695560122159,0.12493776816294853,0.1419362440156334,0.007143767307330281,0.13117738243779817,0.14829279457832908,0.13208581632045271,0.0035834799157227204,0.12790396886408906,0.13581940841806744,5.394866988119162,0.4210062382763884,4.715135115799248,5.785098470628233,15.11164586017822,0.770290173903105,14.177132882606774,15.781389026254201,0.9915324652239791,0.0029904872921875094,0.9880134910987034,0.9950017749993448
fiducial,zero_vector_baseline,Zero baseline,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0
coarse,potential_radial_validation_selected,Potential–radial CV,5,0.1741503560286255,0.00540643661328195,0.16686056456861562,0.1795216131676596,0.6142401929961876,0.03501991536942472,0.5690666465693828,0.6632295452415431,0.4715766091187444,0.026910877308500877,0.43983749538363076,0.5107452083518879,22.261337826852383,0.8675900488784899,21.211777908761803,23.45018285690727,55.111462810930036,2.4817260707554363,52.072372604522606,57.89664243471072,0.9534627266695151,0.05060676456146304,0.8839518592483823,1.018314683859526
coarse,potential_hidden_3d_validation_selected_diagnostic,Potential–3D diagnostic,5,0.17633887467618686,0.006208197538967817,0.16952598718031275,0.18429736326127757,0.5873561817535071,0.01920401287368118,0.5680787324415588,0.60974453325061,0.4524363539472209,0.012452178498616776,0.43983749538363076,0.47269164819454945,21.91852974329214,1.015104922432301,21.00682984818923,23.57633195693662,53.168104883703016,2.173277254882319,51.29077997079483,56.43414819369026,0.9173079100249171,0.02646979171672017,0.8839518592483823,0.9524784563776652
coarse,potential_3d_oracle_validation_selected_diagnostic,Potential–3D oracle,5,0.24509609149538872,0.012634102665783619,0.23707612935534084,0.2674888723230857,0.2694367701989504,0.008389331754313828,0.2597179257593169,0.27607066117491913,0.2587830597654762,0.008576103064634324,0.25050219844873456,0.27161726796808217,11.334533495869346,0.57827509316905,10.684961420156219,11.885538645039464,26.60373753477483,1.2481626895730247,25.582890245685242,28.390647835791807,0.9678086104555096,0.007382988809953901,0.9609717782309376,0.9792716810135074
coarse,unconstrained_radial_validation_selected,Unconstrained–radial CV,5,0.05045183494253401,0.0032574049359090067,0.04603976327627617,0.05518972259305779,1.9156320253935024,0.09020410319806199,1.7802896348174764,2.020641043217933,1.4247699796149231,0.05604168283752479,1.3585337151685513,1.513713963031209,56.03430930900241,3.1734388446896356,52.389174720209255,60.495562055881365,109.18345246918349,5.8335763076249085,101.78628287668343,117.47501781964574,1.5851528069588539,0.05319893659317357,1.5371552897316199,1.6758369084259985
coarse,cartesian_3d_oracle,Cartesian–3D oracle,5,0.07357363090562069,0.004240163968370567,0.06809598760540198,0.08002103723919106,0.0901957686580945,0.004960541830957293,0.08211267756852064,0.09463476508376345,0.08313621071422765,0.0036285884891047357,0.07847588865170012,0.08851493670876955,3.2853706368976416,0.13558070335568373,3.069924728762316,3.4303040255998205,9.313646528711718,0.6959103748380092,8.350487510437851,10.075352452740292,0.9963686117278681,0.0009594403922934554,0.9947275726430903,0.9970478664341055
coarse,zero_vector_baseline,Zero baseline,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0
