working_model,working_model_label,noise_fraction,n_seed_pairs,validation_minimum_basis,validation_minimum_mean,validation_minimum_sem_between_seeds,one_standard_error_threshold,one_standard_error_basis,practical_plateau_basis,plateau_found,combined_practical_basis,practical_validation_mean,practical_validation_sem_between_seeds,strict_argmin_boundary,one_se_boundary,maximum_basis_selected_fraction_equal_seed_weight,last_adjacent_validation_improvement,practical_converged,needs_larger_eigensystem
gls_correct,Correct GLS,0.05,5,2050,3.273649332519748,0.05457039414055473,3.328219726660303,1539,1283,True,1539,3.310871661884909,0.03799812254985442,True,False,0.4666666666666667,0.0004645537262085515,True,False
gls_correct,Correct GLS,0.1,5,2050,1.8979885877883411,0.02261589995005683,1.9206044877383979,1795,1539,True,1795,1.9022895140740332,0.021731272411330868,True,False,0.8333333333333333,0.0022609209869853364,True,False
gls_correct,Correct GLS,0.2,5,2050,1.3447865915506931,0.006838312141260889,1.351624903691954,1795,1283,True,1795,1.345477845195736,0.006560201081450722,True,False,0.5166666666666666,0.000513760704058568,True,False
gls_correct,Correct GLS,0.4,5,1795,1.1651186417681085,0.0021026609856576507,1.1672213027537661,1539,643,True,1539,1.1657914192655643,0.001805217319707923,False,False,0.21666666666666665,-0.0008214279551062873,True,False
gls_correct,Correct GLS,0.8,5,643,1.0964915924457757,0.00381795048578273,1.1003095429315584,387,514,True,514,1.0972078562813001,0.0028307535928958657,False,False,0.0,-0.0013972429280242153,True,False
gls_flattened,Flattened-profile GLS,0.05,5,2050,3.0005610314938487,0.048949026616727453,3.049510058110576,1539,1539,True,1539,3.0325220901229217,0.03600968281972951,True,False,0.5833333333333334,0.0033317208275474783,True,False
gls_flattened,Flattened-profile GLS,0.1,5,2050,1.7697674438421658,0.01992284108147006,1.7896902849236358,1795,1539,True,1795,1.7755172710386944,0.020699671198415547,True,False,0.85,0.0032383955314413296,True,False
gls_flattened,Flattened-profile GLS,0.2,5,2050,1.2853222087051637,0.005793685013430291,1.291115893718594,1795,1283,True,1795,1.2861142855264145,0.006058602711846749,True,False,0.5333333333333334,0.0006158681465283764,True,False
gls_flattened,Flattened-profile GLS,0.4,5,1795,1.1311875796992783,0.001601395436404411,1.1327889751356828,1539,643,True,1539,1.1312293672069504,0.0013027573270177532,False,False,0.13333333333333333,-0.0010655813969098241,True,False
gls_flattened,Flattened-profile GLS,0.8,5,643,1.0698481399085495,0.0026842033403685333,1.072532343248918,387,514,True,514,1.07023017753888,0.0021507501425826582,False,False,0.0,-0.0016645530539240853,True,False
ols,OLS,0.05,5,2050,2.880267019099901,0.0402671073972669,2.920534126497168,1539,1539,True,1539,2.912936571698871,0.03826282546437984,True,False,0.5666666666666667,0.0056407131038331785,True,False
ols,OLS,0.1,5,2050,1.728207625687609,0.01619153063986377,1.7443991563274728,1795,1539,True,1795,1.7344223658224265,0.01786283592615909,True,False,0.8166666666666667,0.003583175734631672,True,False
ols,OLS,0.2,5,2050,1.2826773518998311,0.0043114739068317535,1.2869888258066629,1795,1283,True,1795,1.2831886160790162,0.004845807883094663,True,False,0.5666666666666667,0.0003984326020186886,True,False
ols,OLS,0.4,5,1539,1.1423300593071335,0.001297023608553669,1.1436270829156872,1539,643,True,1539,1.1423300593071335,0.001297023608553669,False,False,0.09999999999999999,-0.0014437912340518522,True,False
ols,OLS,0.8,5,514,1.082814771738679,0.0019187646014903002,1.0847335363401691,387,514,True,514,1.082814771738679,0.0019187646014903002,False,False,0.0,-0.00203717248089233,True,False
