seed_pair_index,reference_seed,label_seed,working_model,n_basis,n_fit,numerical_rank,coefficient_relative_error,radial_fit_relative_error,test_field_relative_error,normal_matrix_condition,closure_status
0,20260805,20260804,gls_correct,2050,4250,2050,1.794658572226275e-05,2.098942254493217e-08,1.3633969566588327e-07,31282859.299659662,review
0,20260805,20260804,gls_flattened,2050,4250,2050,1.6467595653365512e-05,1.8903613336418558e-08,1.2825484664623974e-07,37588012.28500871,review
0,20260805,20260804,ols,2050,4250,2050,1.5832204883262744e-05,1.814421660719673e-08,1.2829549309460102e-07,44778763.59674758,review
1,20260815,20260814,gls_correct,2050,4250,2050,2.911676682076512e-05,3.419656590716031e-08,2.3644746373909322e-07,30813774.26873427,review
1,20260815,20260814,gls_flattened,2050,4250,2050,2.6426212271123704e-05,3.0504147139402204e-08,2.193644049958808e-07,32030624.07129223,review
1,20260815,20260814,ols,2050,4250,2050,2.5227647867892422e-05,2.900557221897585e-08,2.1604987997972994e-07,38313642.93193008,review
2,20260825,20260824,gls_correct,2050,4250,2050,2.9383689982814576e-05,3.447493561871702e-08,2.1565505100982805e-07,27980920.689209804,review
2,20260825,20260824,gls_flattened,2050,4250,2050,2.7157552798723115e-05,3.117856918553736e-08,2.0101187150313287e-07,25063010.142457727,review
2,20260825,20260824,ols,2050,4250,2050,2.628869292958279e-05,2.9982588698114416e-08,1.9871193612696782e-07,30555949.194633238,review
3,20260905,20260904,gls_correct,2050,4250,2050,3.4678534205215886e-05,3.906558776024427e-08,3.19192924069441e-07,36410468.30797649,review
3,20260905,20260904,gls_flattened,2050,4250,2050,3.1932677074988325e-05,3.524134623042632e-08,2.971611354752383e-07,44148404.31922643,review
3,20260905,20260904,ols,2050,4250,2050,3.077955770384092e-05,3.377433070138917e-08,2.9190029967364534e-07,53009645.47423956,review
4,20260915,20260914,gls_correct,2050,4250,2050,1.728904202697592e-05,2.1321396213254527e-08,1.514699027272366e-07,39202885.22124847,review
4,20260915,20260914,gls_flattened,2050,4250,2050,1.584547753191019e-05,1.9113464051882263e-08,1.4306783279252706e-07,47663293.948945634,review
4,20260915,20260914,ols,2050,4250,2050,1.525650994662645e-05,1.830781411511742e-08,1.4470729886282203e-07,57218826.54798341,review
