working_model,noise_fraction,n_basis,regularization_strength,penalty_power,count
gls_correct,0.05,1539,1e-06,2.0,32
gls_correct,0.05,1539,0.0001,2.0,27
gls_correct,0.05,1539,1e-06,1.0,1
gls_correct,0.1,1795,0.0001,2.0,60
gls_correct,0.2,1795,0.0001,2.0,60
gls_correct,0.4,1539,0.0001,2.0,60
gls_correct,0.8,514,0.0001,2.0,32
gls_correct,0.8,514,0.0001,1.0,28
gls_flattened,0.05,1539,1e-06,2.0,40
gls_flattened,0.05,1539,0.0001,2.0,20
gls_flattened,0.1,1795,0.0001,2.0,60
gls_flattened,0.2,1795,0.0001,2.0,60
gls_flattened,0.4,1539,0.0001,2.0,60
gls_flattened,0.8,514,0.0001,2.0,35
gls_flattened,0.8,514,0.0001,1.0,25
ols,0.05,1539,1e-06,2.0,45
ols,0.05,1539,0.0001,2.0,15
ols,0.1,1795,0.0001,2.0,60
ols,0.2,1795,0.0001,2.0,60
ols,0.4,1539,0.0001,2.0,60
ols,0.8,514,0.0001,2.0,39
ols,0.8,514,0.0001,1.0,21
