protocol,comparison,left_model,right_model,seed_pair_index,reference_seed,label_seed,run_key,noise_fraction,noise_realization,delta_test_observed_nrmse_radial,delta_test_latent_nrmse_radial,delta_test_hidden_nrmse_tangential,delta_test_hidden_nrmse_3d,delta_test_working_measurement_whitened_residual_rms,delta_test_true_measurement_whitened_residual_rms
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep000_seed2026090100,0.05,0,-0.0006138678804573083,-0.0011150856079047144,-0.019975630960974322,-0.01476498265126458,-0.28917913169080567,0.023757173004011367
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep001_seed2026090101,0.05,1,-0.007510289554492261,-0.009304589903061017,0.09278015841821596,0.06664751491030846,-0.31187718324767344,0.0028520475724760352
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep002_seed2026090102,0.05,2,-0.00042421416054849725,-0.0008716849567041995,-0.01290600973965006,-0.009549844864086499,-0.21839421960043737,0.022199777827957234
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep003_seed2026090103,0.05,3,-0.010913691472000081,-0.011167979808651238,0.08067415168837377,0.05759282983388542,-0.40083042299749083,-0.10706254246409275
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep004_seed2026090104,0.05,4,-0.00021385019909103686,-0.0002593051921196271,-0.015279544784224441,-0.011230069196994985,-0.23004498694446074,0.04687065479107533
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep005_seed2026090105,0.05,5,-0.011308346475460973,-0.010030674338820683,0.0916276557394855,0.06575105341697363,-0.3994246353264006,-0.10503350848034199
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep006_seed2026090106,0.05,6,-0.0007526543129730001,-0.0009389579807970033,-0.013148371669485237,-0.009738943428314162,-0.24821551638873807,0.02273868730370676
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep007_seed2026090107,0.05,7,-0.008917344496948948,-0.011235181590940516,0.0852081268184598,0.060909049780645486,-0.3488528501907604,-0.08964298473611487
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep008_seed2026090108,0.05,8,-0.001010177113839772,-0.0010245985290564807,-0.012524576500697049,-0.009292358239993193,-0.27529092922141807,0.0347946501769254
retuned_practical,ols_minus_correct,ols,gls_correct,0,20260805,20260804,seed00_ref20260805_label20260804_noise00500_rep009_seed2026090109,0.05,9,-0.0013475888809348913,-0.001336553656181655,-0.017052371552165657,-0.012642433719682655,-0.2469304111657391,0.003685176701499593
