protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,flattened_minus_correct,0.05,test_observed_nrmse_radial,5,60,-0.0012460003097244667,-0.0012634700347280287,-0.0019027581577387574,-0.0006641324626583038,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.05,test_latent_nrmse_radial,5,60,-0.0013076765213837392,-0.0012793247770603727,-0.0019774745692774536,-0.0006971593789183482,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.05,test_hidden_nrmse_tangential,5,60,-0.0006769621156701914,-0.0008202882238925735,-0.003602964495081907,0.00278536156509865,4,1,0,0.375
matched_correct_gls_practical,flattened_minus_correct,0.05,test_hidden_nrmse_3d,5,60,-0.0006528394665941128,-0.0007486807916965432,-0.00282433000321515,0.0018713111193983992,4,1,0,0.375
matched_correct_gls_practical,flattened_minus_correct,0.05,test_working_measurement_whitened_residual_rms,5,60,-0.22370661412885368,-0.20090243736543267,-0.2864344210263961,-0.1816648638927902,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.05,test_true_measurement_whitened_residual_rms,5,60,0.01699727495849197,0.009403443446760695,0.0001264323790633994,0.03221482335459843,1,4,0,0.375
matched_correct_gls_practical,flattened_minus_correct,0.1,test_observed_nrmse_radial,5,60,-0.0012617319223169406,-0.0015364289763303146,-0.0019986145196530273,-0.000508495066469129,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.1,test_latent_nrmse_radial,5,60,-0.001505584031820986,-0.0019717902614726224,-0.002379942420747322,-0.0006197683891898982,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.1,test_hidden_nrmse_tangential,5,60,0.005397713162129958,0.005437569326764258,0.004129978585835758,0.006668239029550848,0,5,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.1,test_hidden_nrmse_3d,5,60,0.0037780078304300605,0.003815286463855011,0.0028802530592614045,0.004723602495986538,0,5,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.1,test_working_measurement_whitened_residual_rms,5,60,-0.10597657347075844,-0.09959388735076313,-0.1259325221077559,-0.09108362747330309,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.1,test_true_measurement_whitened_residual_rms,5,60,0.012738082237539756,0.007041982050738249,-0.0005740202488314131,0.027120075250580876,1,4,0,0.375
