seed_pair_index,reference_seed,label_seed,working_model,working_model_label,profile_min_model,profile_median_model,profile_max_model,profile_rms_train,precision_weight_min_train,precision_weight_max_train,precision_effective_sample_size_train,radius_profile_correlation
0,20260805,20260804,gls_correct,Correct GLS,0.3471058222743032,1.0261242482149426,1.2243782064203788,1.0,0.5514144732528046,6.849855515215165,2540.7625630162893,0.9999999999999997
0,20260805,20260804,gls_flattened,Flattened-profile GLS,0.59440054987639,1.0219937232034813,1.1163645796502648,1.0,0.7657705792896192,2.6989839490463994,3291.1589060873353,0.9978062466680636
0,20260805,20260804,ols,OLS,1.0,1.0,1.0,1.0,1.0,1.0,3500.0,
1,20260815,20260814,gls_correct,Correct GLS,0.3468435670654838,1.0223196485414072,1.2223044988241243,1.0,0.5561473100751713,6.906351012781434,2539.3713625938667,0.9999999999999997
1,20260815,20260814,gls_flattened,Flattened-profile GLS,0.5939754992364596,1.019753167607354,1.115042483176039,0.9999999999999999,0.7686697459618086,2.70875166478317,3294.4150197784356,0.9978035542953111
1,20260815,20260814,ols,OLS,1.0,1.0,1.0,1.0,1.0,1.0,3500.0,
2,20260825,20260824,gls_correct,Correct GLS,0.33675475842697605,1.0234728028393834,1.2272808465663265,1.0,0.551374619920304,6.860474521556718,2572.533904269841,1.0
2,20260825,20260824,gls_flattened,Flattened-profile GLS,0.5853673470388113,1.020492402159543,1.117489884628359,1.0,0.7650735533595148,2.6987141238493058,3296.920206009455,0.9978951378532502
2,20260825,20260824,ols,OLS,1.0,1.0,1.0,1.0,1.0,1.0,3500.0,
3,20260905,20260904,gls_correct,Correct GLS,0.33669152978914996,1.0245633386557296,1.22705041390215,1.0,0.5525040287407189,7.338307055299661,2572.331404299482,0.9999999999999997
3,20260905,20260904,gls_flattened,Flattened-profile GLS,0.5852798132384156,1.0209791085414897,1.1173227790714804,1.0,0.7656368348030175,2.790313720194007,3298.8141983069754,0.9978934727706958
3,20260905,20260904,ols,OLS,1.0,1.0,1.0,1.0,1.0,1.0,3500.0,
4,20260915,20260914,gls_correct,Correct GLS,0.33525717939314476,1.0179802587419489,1.2217421859389532,1.0,0.5581536080272705,7.411437485366229,2554.1139566921797,1.0
4,20260915,20260914,gls_flattened,Flattened-profile GLS,0.5839397630029186,1.0175334239209102,1.1147276942296491,1.0,0.7696099769083272,2.8044328506366476,3298.225937194375,0.9977163368052085
4,20260915,20260914,ols,OLS,1.0,1.0,1.0,1.0,1.0,1.0,3500.0,
