comparison,working_model,noise_fraction,same_candidate_fraction_equal_seed_weight,mean_basis_difference_equal_seed_weight,n_seed_pairs
practical_operational_vs_hidden_3d,gls_correct,0.05,0.0,-395.95,5
practical_operational_vs_hidden_3d,gls_correct,0.1,0.03333333333333333,-157.01666666666668,5
practical_operational_vs_hidden_3d,gls_correct,0.2,0.08333333333333333,-174.1,5
practical_operational_vs_hidden_3d,gls_correct,0.4,0.05,-370.43333333333334,5
practical_operational_vs_hidden_3d,gls_correct,0.8,0.0,223.01666666666665,5
practical_operational_vs_hidden_3d,gls_flattened,0.05,0.0,-361.8666666666667,5
practical_operational_vs_hidden_3d,gls_flattened,0.1,0.0,-131.43333333333334,5
practical_operational_vs_hidden_3d,gls_flattened,0.2,0.06666666666666667,-169.83333333333331,5
practical_operational_vs_hidden_3d,gls_flattened,0.4,0.016666666666666666,-340.6,5
practical_operational_vs_hidden_3d,gls_flattened,0.8,0.0,72.7,5
practical_operational_vs_hidden_3d,ols,0.05,0.0,-374.65,5
practical_operational_vs_hidden_3d,ols,0.1,0.03333333333333333,-157.03333333333333,5
practical_operational_vs_hidden_3d,ols,0.2,0.08333333333333333,-174.1,5
practical_operational_vs_hidden_3d,ols,0.4,0.03333333333333333,-349.1333333333333,5
practical_operational_vs_hidden_3d,ols,0.8,0.0,-427.8666666666667,5
raw_operational_vs_hidden_3d,gls_correct,0.05,0.4166666666666667,-174.55,5
raw_operational_vs_hidden_3d,gls_correct,0.1,0.8333333333333333,38.41666666666667,5
raw_operational_vs_hidden_3d,gls_correct,0.2,0.5666666666666667,-59.416666666666664,5
raw_operational_vs_hidden_3d,gls_correct,0.4,0.21666666666666665,-349.3166666666667,5
raw_operational_vs_hidden_3d,gls_correct,0.8,0.049999999999999996,311.25,5
raw_operational_vs_hidden_3d,gls_flattened,0.05,0.4833333333333333,-55.25,5
raw_operational_vs_hidden_3d,gls_flattened,0.1,0.7333333333333333,85.31666666666668,5
raw_operational_vs_hidden_3d,gls_flattened,0.2,0.4833333333333333,-42.366666666666674,5
raw_operational_vs_hidden_3d,gls_flattened,0.4,0.15,-372.7333333333333,5
raw_operational_vs_hidden_3d,gls_flattened,0.8,0.016666666666666666,180.16666666666669,5
raw_operational_vs_hidden_3d,ols,0.05,0.4,-42.416666666666664,5
raw_operational_vs_hidden_3d,ols,0.1,0.65,51.21666666666666,5
raw_operational_vs_hidden_3d,ols,0.2,0.4833333333333333,-50.93333333333333,5
raw_operational_vs_hidden_3d,ols,0.4,0.11666666666666665,-453.7666666666667,5
raw_operational_vs_hidden_3d,ols,0.8,0.016666666666666666,-369.4666666666667,5
raw_operational_vs_true_whitened,gls_correct,0.05,1.0,0.0,5
raw_operational_vs_true_whitened,gls_correct,0.1,1.0,0.0,5
raw_operational_vs_true_whitened,gls_correct,0.2,1.0,0.0,5
raw_operational_vs_true_whitened,gls_correct,0.4,1.0,0.0,5
raw_operational_vs_true_whitened,gls_correct,0.8,1.0,0.0,5
raw_operational_vs_true_whitened,gls_flattened,0.05,0.6333333333333333,110.78333333333335,5
raw_operational_vs_true_whitened,gls_flattened,0.1,0.8333333333333334,42.61666666666667,5
raw_operational_vs_true_whitened,gls_flattened,0.2,0.85,-8.483333333333333,5
raw_operational_vs_true_whitened,gls_flattened,0.4,0.7833333333333334,-59.65,5
raw_operational_vs_true_whitened,gls_flattened,0.8,0.6833333333333333,14.916666666666668,5
raw_operational_vs_true_whitened,ols,0.05,0.38333333333333336,68.23333333333333,5
raw_operational_vs_true_whitened,ols,0.1,0.7333333333333334,46.93333333333333,5
raw_operational_vs_true_whitened,ols,0.2,0.65,-46.800000000000004,5
raw_operational_vs_true_whitened,ols,0.4,0.5666666666666667,-149.21666666666664,5
raw_operational_vs_true_whitened,ols,0.8,0.4833333333333333,-70.41666666666666,5
