noise_fraction,n_basis,n_seed_pairs,validation_observed_nrmse_mean,validation_observed_nrmse_std_between_seeds,validation_observed_nrmse_sem_between_seeds,test_hidden_nrmse_3d_mean,test_hidden_nrmse_3d_std_between_seeds,test_latent_nrmse_radial_mean,test_hidden_nrmse_tangential_mean,effective_degrees_of_freedom_mean,within_basis_selector_agreement_mean
0.0,3,5,0.967824591480109,0.004755071875479942,0.0021265327902941127,1.0814123612756044,0.013175444811492434,0.9604496403787536,1.164794880174447,2.9999999968220017,1.0
0.0,6,5,0.9372264149177714,0.008367186637060518,0.0037419196201790355,0.9626367234152987,0.012892599259051837,0.9338786220846605,0.9839542868189483,5.724312087697233,0.4
0.0,11,5,0.9254551598632649,0.00988618770380342,0.0044212375488054,0.9634644268047656,0.015464396743662788,0.920011629470611,0.9952482545671778,10.734199089713467,0.4
0.0,19,5,0.6749686081752944,0.009691315933175406,0.004334088243601403,0.8471975419898454,0.02156366455481171,0.6779604547074525,0.9558579592571101,18.126393832672818,0.2
0.0,35,5,0.5825288570069533,0.0158330508742488,0.007080755609206558,0.7274832177926533,0.029241418862359498,0.5827076131409116,0.820965983672974,34.07788006320276,0.2
0.0,67,5,0.5232381246523564,0.010293569046429455,0.00460342402378079,0.6924846147555144,0.024532339982998218,0.5200399016402685,0.7993730769699374,64.29069747316672,0.4
0.0,131,5,0.4386031365248012,0.008617300700195727,0.003853774029638836,0.6967625537055386,0.028141215063691827,0.45288322327097763,0.8361324787177123,126.00776540069856,0.8
0.0,259,5,0.3104684411211277,0.009942777674328041,0.004446545352992953,0.5973383901662058,0.02383431169200619,0.31866668135674225,0.7426114416814822,239.59531204193132,0.8
0.0,387,5,0.26553922840857636,0.01246586968225289,0.005574906401634233,0.5748098149007415,0.02687496453355355,0.27164870964462823,0.7253753763988555,342.9837836721262,0.8
0.0,514,5,0.23304527116367763,0.01021929771890563,0.004570208876356305,0.5598141372703672,0.04870384982035648,0.23305358303594778,0.714855296653106,456.63690965579445,0.6
0.0,643,5,0.2045329838421846,0.010634190128096056,0.0047557544024159955,0.5342072607543401,0.05599292625383917,0.2041991662061967,0.6865528178158737,555.9099849377683,0.6
0.0,771,5,0.18325695874086195,0.009802246648460675,0.0043836979676355105,0.5293662429488475,0.056110996197912925,0.17767755316805883,0.6858425577226284,688.1286951485929,0.4
0.0,899,5,0.16817107836850248,0.003527351334329735,0.001577479472817175,0.5462047175963155,0.019119135677295715,0.15923306486098354,0.7116034858513596,892.5704216573265,0.0
0.0,1027,5,0.15371194492033896,0.0037241174825604286,0.0016654759694401011,0.5271163058941644,0.00906670940447007,0.14470781656450474,0.6881512419498911,1016.9856604699302,0.0
0.0,1283,5,0.13816268617015226,0.008271224147895594,0.0036990038903664643,0.5177921882768779,0.019073172620982605,0.1368639703899687,0.6766945124480346,1262.1818198824467,0.0
0.0,1539,5,0.1301118806073296,0.006802751394073413,0.003042282910235922,0.5146841622729464,0.02117643738998577,0.13043839184589617,0.6735235016375923,1499.3650083853163,0.0
0.0,1795,5,0.12993831647878862,0.004935678441744999,0.0022073025021644107,0.4970181756947355,0.03612896435661685,0.12446595955166642,0.6509065372112957,1560.4472516363815,0.2
0.0,2050,5,0.129355928939273,0.0071200401567530274,0.0031841787586056056,0.49504011226909617,0.037015715163072394,0.12336011387864369,0.6484042798382063,1732.9192793556224,0.2
0.05,3,5,0.9679360234320958,0.004817798381232503,0.0021545849364648646,1.081407866543703,0.013210059339314333,0.9604559909227905,1.1647832968707696,2.9999999968220017,1.0
0.05,6,5,0.9373262623049593,0.00844628821822814,0.00377729492270274,0.9612296175506266,0.010644430521053898,0.9337153776506344,0.9816733723587587,5.789638800067779,0.4
0.05,11,5,0.9255684111288609,0.009946328235704986,0.004448133212312379,0.9629197443153237,0.013952972809855501,0.9199839094456213,0.9943668741240289,10.874352601176435,0.5333333333333333
0.05,19,5,0.6759630675838584,0.009802294216473965,0.004383719240697765,0.84715563325543,0.021514264152486216,0.6779735490932229,0.9557846137484095,18.122221084338186,0.23333333333333334
0.05,35,5,0.5839631093473096,0.015691327712909757,0.0070173750846585035,0.7276230300065538,0.029296499413974563,0.5827401041700471,0.8211668690387232,34.081820925046244,0.2
0.05,67,5,0.5249979730318661,0.010310090570838917,0.0046108126741150855,0.6924505686315156,0.024619338588585327,0.5200568198788096,0.7993121808666158,64.28922526077562,0.3833333333333333
0.05,131,5,0.4412052265654897,0.0085576260505979,0.0038270867150319915,0.6966823848934586,0.028398248989603,0.45291841772668107,0.8360016576727046,126.00776540069856,0.8
