seed_pair_index,reference_seed,label_seed,noise_fraction,n_runs,noise_sigma,train_radial_rms
0,20260805,20260804,0.0,1,0.0,267.2868279644088
0,20260805,20260804,0.05,12,13.36434139822044,267.2868279644088
0,20260805,20260804,0.1,12,26.72868279644088,267.2868279644088
0,20260805,20260804,0.2,12,53.45736559288176,267.2868279644088
0,20260805,20260804,0.4,12,106.91473118576351,267.2868279644088
0,20260805,20260804,0.8,12,213.82946237152703,267.2868279644088
1,20260815,20260814,0.0,1,0.0,273.27124989347226
1,20260815,20260814,0.05,12,13.663562494673611,273.27124989347226
1,20260815,20260814,0.1,12,27.327124989347222,273.27124989347226
1,20260815,20260814,0.2,12,54.65424997869445,273.27124989347226
1,20260815,20260814,0.4,12,109.3084999573889,273.27124989347226
1,20260815,20260814,0.8,12,218.6169999147778,273.27124989347226
2,20260825,20260824,0.0,1,0.0,264.593090487359
2,20260825,20260824,0.05,12,13.229654524367952,264.593090487359
2,20260825,20260824,0.1,12,26.459309048735904,264.593090487359
2,20260825,20260824,0.2,12,52.91861809747181,264.593090487359
2,20260825,20260824,0.4,12,105.8372361949436,264.593090487359
2,20260825,20260824,0.8,12,211.67447238988723,264.593090487359
3,20260905,20260904,0.0,1,0.0,264.2763094307063
3,20260905,20260904,0.05,12,13.213815471535316,264.2763094307063
3,20260905,20260904,0.1,12,26.427630943070632,264.2763094307063
3,20260905,20260904,0.2,12,52.855261886141264,264.2763094307063
3,20260905,20260904,0.4,12,105.71052377228251,264.2763094307063
3,20260905,20260904,0.8,12,211.42104754456503,264.2763094307063
4,20260915,20260914,0.0,1,0.0,265.0776852122761
4,20260915,20260914,0.05,12,13.253884260613807,265.0776852122761
4,20260915,20260914,0.1,12,26.507768521227614,265.0776852122761
4,20260915,20260914,0.2,12,53.01553704245524,265.0776852122761
4,20260915,20260914,0.4,12,106.03107408491049,265.0776852122761
4,20260915,20260914,0.8,12,212.06214816982092,265.0776852122761
