run_key,seed_pair_index,seed_run_index,reference_seed,label_seed,scale,noise_fraction,noise_sigma,noise_realization,noise_seed,train_radial_rms,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_selection_score,validation_observed_nrmse,validation_reduced_chi2,validation_latent_nrmse_radial,validation_hidden_nrmse_tangential,validation_hidden_nrmse_3d
seedpair00_ref20260805_label20260804_noise00000_rep000_seed2026082700,0,0,20260805,20260804,fiducial,0.0,0.0,0,2026082700,267.2868279644088,1539,3,1536,1e-06,2.0,0.1312499265476117,0.1312499265476117,,0.1312499265476117,0.6222101126930851,0.4889574735625833
seedpair00_ref20260805_label20260804_noise00500_rep000_seed2026082700,0,1,20260805,20260804,fiducial,0.05,13.36434139822044,0,2026082700,267.2868279644088,1539,3,1536,1e-06,2.0,8.647222539658294,0.1488263204037599,8.647222539658294,0.1403098901124563,0.6426056485025355,0.5055049806560299
seedpair00_ref20260805_label20260804_noise00500_rep001_seed2026082701,0,2,20260805,20260804,fiducial,0.05,13.36434139822044,1,2026082701,267.2868279644088,1539,3,1536,1e-06,2.0,8.294426213166515,0.146356005241099,8.294426213166515,0.1387247293476882,0.6341164056195374,0.4988567775678416
seedpair00_ref20260805_label20260804_noise00500_rep002_seed2026082702,0,3,20260805,20260804,fiducial,0.05,13.36434139822044,2,2026082702,267.2868279644088,1539,3,1536,1e-06,2.0,7.863106268780739,0.1435179568841781,7.863106268780739,0.1348550149286027,0.6426434515153057,0.5049392326873853
seedpair00_ref20260805_label20260804_noise00500_rep003_seed2026082703,0,4,20260805,20260804,fiducial,0.05,13.36434139822044,3,2026082703,267.2868279644088,1539,3,1536,1e-06,2.0,7.7586967509608,0.1413434522479148,7.7586967509608,0.1365213730906739,0.6488693458515107,0.509869577719169
seedpair00_ref20260805_label20260804_noise00500_rep004_seed2026082704,0,5,20260805,20260804,fiducial,0.05,13.36434139822044,4,2026082704,267.2868279644088,1539,3,1536,1e-06,2.0,7.748981917769913,0.1408916751620436,7.748981917769913,0.1324773335168104,0.6293713564085754,0.4945546680599006
seedpair00_ref20260805_label20260804_noise00500_rep005_seed2026082705,0,6,20260805,20260804,fiducial,0.05,13.36434139822044,5,2026082705,267.2868279644088,1795,3,1792,1e-06,2.0,8.131165040162529,0.1445200669667851,8.131165040162529,0.1372954771629077,0.6200804611213329,0.4879985261829305
seedpair00_ref20260805_label20260804_noise00500_rep006_seed2026082706,0,7,20260805,20260804,fiducial,0.05,13.36434139822044,6,2026082706,267.2868279644088,2050,3,2047,0.0001,2.0,8.809121161063079,0.1509662399092499,8.809121161063079,0.1413150370336454,0.5557643100977508,0.4395855543673219
seedpair00_ref20260805_label20260804_noise00500_rep007_seed2026082707,0,8,20260805,20260804,fiducial,0.05,13.36434139822044,7,2026082707,267.2868279644088,1539,3,1536,1e-06,2.0,8.401997118510018,0.1468450946272516,8.401997118510018,0.1375077513560429,0.6414924391720608,0.5043474827188409
seedpair00_ref20260805_label20260804_noise00500_rep008_seed2026082708,0,9,20260805,20260804,fiducial,0.05,13.36434139822044,8,2026082708,267.2868279644088,1539,3,1536,1e-06,2.0,8.853058384363068,0.1507837956917733,8.853058384363068,0.1412498946910872,0.6350689703571301,0.4998661146113348
seedpair00_ref20260805_label20260804_noise00500_rep009_seed2026082709,0,10,20260805,20260804,fiducial,0.05,13.36434139822044,9,2026082709,267.2868279644088,1539,3,1536,1e-06,2.0,8.766487510487059,0.1501163914001086,8.766487510487059,0.1426014721535241,0.65078976082435,0.5119991624749658
seedpair00_ref20260805_label20260804_noise00500_rep010_seed2026082710,0,11,20260805,20260804,fiducial,0.05,13.36434139822044,10,2026082710,267.2868279644088,1539,3,1536,1e-06,2.0,8.49911527981865,0.1477462252672559,8.49911527981865,0.1377739082614577,0.6329611124247151,0.4978704010738631
seedpair00_ref20260805_label20260804_noise00500_rep011_seed2026082711,0,12,20260805,20260804,fiducial,0.05,13.36434139822044,11,2026082711,267.2868279644088,1539,3,1536,1e-06,2.0,7.996731422585504,0.1434796742106004,7.996731422585504,0.1341722635803222,0.633538701436471,0.4979172715326289
seedpair00_ref20260805_label20260804_noise01000_rep000_seed2026082700,0,13,20260805,20260804,fiducial,0.1,26.72868279644088,0,2026082700,267.2868279644088,2050,3,2047,0.0001,2.0,3.2261696469717944,0.1805686748584926,3.2261696469717944,0.1488716285840317,0.5580482864720521,0.4423108047429612
seedpair00_ref20260805_label20260804_noise01000_rep001_seed2026082701,0,14,20260805,20260804,fiducial,0.1,26.72868279644088,1,2026082701,267.2868279644088,2050,3,2047,0.0001,2.0,3.096355855959401,0.1783676054039657,3.096355855959401,0.1511723109544594,0.5635000934906788,0.446746243149122
seedpair00_ref20260805_label20260804_noise01000_rep002_seed2026082702,0,15,20260805,20260804,fiducial,0.1,26.72868279644088,2,2026082702,267.2868279644088,1795,3,1792,0.0001,2.0,2.9941858473143763,0.1778794986017286,2.9941858473143763,0.1475921143825316,0.5553379489581536,0.4400877491087185
seedpair00_ref20260805_label20260804_noise01000_rep003_seed2026082703,0,16,20260805,20260804,fiducial,0.1,26.72868279644088,3,2026082703,267.2868279644088,2050,3,2047,0.0001,2.0,2.8622410581734403,0.1710331266293468,2.8622410581734403,0.1514627683561788,0.5702249565389864,0.4518737083640144
seedpair00_ref20260805_label20260804_noise01000_rep004_seed2026082704,0,17,20260805,20260804,fiducial,0.1,26.72868279644088,4,2026082704,267.2868279644088,1539,3,1536,1e-06,2.0,3.093148022747175,0.1768375764191941,3.093148022747175,0.1483728623485635,0.6732444309106156,0.5297601882918522
seedpair00_ref20260805_label20260804_noise01000_rep005_seed2026082705,0,18,20260805,20260804,fiducial,0.1,26.72868279644088,5,2026082705,267.2868279644088,2050,3,2047,0.0001,2.0,3.0531720333518435,0.176173922498185,3.0531720333518435,0.1481778926078639,0.5584597641793064,0.4425289732739139
seedpair00_ref20260805_label20260804_noise01000_rep006_seed2026082706,0,19,20260805,20260804,fiducial,0.1,26.72868279644088,6,2026082706,267.2868279644088,2050,3,2047,0.0001,2.0,3.14038139253743,0.1799209405633282,3.14038139253743,0.1460147465004301,0.5596314875238034,0.4431285113860106
seedpair00_ref20260805_label20260804_noise01000_rep007_seed2026082707,0,20,20260805,20260804,fiducial,0.1,26.72868279644088,7,2026082707,267.2868279644088,2050,3,2047,0.0001,2.0,3.110521564479845,0.177645125344225,3.110521564479845,0.1454808263378091,0.5558234549720191,0.4401739422055954
seedpair00_ref20260805_label20260804_noise01000_rep008_seed2026082708,0,21,20260805,20260804,fiducial,0.1,26.72868279644088,8,2026082708,267.2868279644088,2050,3,2047,0.0001,2.0,3.1884442299606244,0.1799833193179031,3.1884442299606244,0.1493278575306899,0.5642783074577462,0.4470869187905176
seedpair00_ref20260805_label20260804_noise01000_rep009_seed2026082709,0,22,20260805,20260804,fiducial,0.1,26.72868279644088,9,2026082709,267.2868279644088,2050,3,2047,0.0001,2.0,3.081516817937857,0.1771618783148717,3.081516817937857,0.1514823839138422,0.5697959998616986,0.4515517082998793
seedpair00_ref20260805_label20260804_noise01000_rep010_seed2026082710,0,23,20260805,20260804,fiducial,0.1,26.72868279644088,10,2026082710,267.2868279644088,2050,3,2047,0.0001,2.0,3.302912163461846,0.1832051678638722,3.302912163461846,0.1457267043622669,0.5539270181425006,0.4387705279964914
seedpair00_ref20260805_label20260804_noise01000_rep011_seed2026082711,0,24,20260805,20260804,fiducial,0.1,26.72868279644088,11,2026082711,267.2868279644088,2050,3,2047,0.0001,2.0,3.067801206675528,0.1770073424945221,3.067801206675528,0.146105449779017,0.5614625356164271,0.4445273928764151
seedpair00_ref20260805_label20260804_noise02000_rep000_seed2026082700,0,25,20260805,20260804,fiducial,0.2,53.45736559288176,0,2026082700,267.2868279644088,2050,3,2047,0.0001,2.0,1.7251662873189153,0.2585914832422331,1.7251662873189153,0.1700560218870817,0.5745809241198919,0.4577918595931603
seedpair00_ref20260805_label20260804_noise02000_rep001_seed2026082701,0,26,20260805,20260804,fiducial,0.2,53.45736559288176,1,2026082701,267.2868279644088,1539,3,1536,0.0001,2.0,1.6615432255472469,0.258038296683152,1.6615432255472469,0.1750960764923801,0.5813790271647783,0.4636621541341381
seedpair00_ref20260805_label20260804_noise02000_rep002_seed2026082702,0,27,20260805,20260804,fiducial,0.2,53.45736559288176,2,2026082702,267.2868279644088,1795,3,1792,0.0001,2.0,1.654005265897342,0.2644550981361374,1.654005265897342,0.1665749578821511,0.5681166968735385,0.4524094528751188
seedpair00_ref20260805_label20260804_noise02000_rep003_seed2026082703,0,28,20260805,20260804,fiducial,0.2,53.45736559288176,3,2026082703,267.2868279644088,2050,3,2047,0.0001,2.0,1.469667375191725,0.2416372467983385,1.469667375191725,0.175157554115022,0.5988488756110977,0.4768194266056253
seedpair00_ref20260805_label20260804_noise02000_rep004_seed2026082704,0,29,20260805,20260804,fiducial,0.2,53.45736559288176,4,2026082704,267.2868279644088,2050,3,2047,0.0001,2.0,1.6824372620349122,0.2555281211102215,1.6824372620349122,0.1647900830415664,0.5770281020546916,0.4588657439150153
seedpair00_ref20260805_label20260804_noise02000_rep005_seed2026082705,0,30,20260805,20260804,fiducial,0.2,53.45736559288176,5,2026082705,267.2868279644088,2050,3,2047,0.0001,2.0,1.6543618882897428,0.2547930770892855,1.6543618882897428,0.1694922206759566,0.5734798976353476,0.456879272782361
