family,contrast,role_a,role_b,metric,n_replicates,mean_difference,std_difference,ci_low,ci_high,wins,ties,losses
geometry,primary_loss_minus_primary_unweighted,primary_loss_weighted,primary_unweighted,parent,10,-5.827185948676789e-05,0.00045411847777429207,-0.00036285225530113385,0.000151951628906153,3,0,7
geometry,primary_loss_minus_primary_unweighted,primary_loss_weighted,primary_unweighted,observed_unweighted,10,0.0007880707437890218,0.00024270061148766038,0.0006374198761225945,0.0009220637158559202,0,0,10
geometry,primary_loss_minus_primary_unweighted,primary_loss_weighted,primary_unweighted,query_primary,10,0.0002129764680044867,0.00024510150779494234,7.917776640357283e-05,0.0003650504665503483,1,0,9
geometry,legacy_geometry_only_minus_primary_unweighted,legacy_geometry_only,primary_unweighted,parent,10,0.0008692027756938746,0.000814821961847392,0.0004296460061666934,0.0013831093053589501,2,0,8
geometry,legacy_geometry_only_minus_primary_unweighted,legacy_geometry_only,primary_unweighted,observed_unweighted,10,0.0003798562845501816,0.0005093130178220904,0.00010451802512063514,0.0006979249689844024,3,0,7
geometry,legacy_geometry_only_minus_primary_unweighted,legacy_geometry_only,primary_unweighted,query_primary,10,0.0011726714425678304,0.00027768461434569687,0.0010140751189454899,0.0013393459819211473,0,0,10
geometry,legacy_geometry_plus_loss_minus_primary_loss,legacy_geometry_plus_loss,primary_loss_weighted,parent,10,0.0009922785880829201,0.0005736852994681007,0.0006501101345374901,0.0013210206451868304,1,0,9
geometry,legacy_geometry_plus_loss_minus_primary_loss,legacy_geometry_plus_loss,primary_loss_weighted,observed_unweighted,10,0.00045809967045965135,0.0002863049749151996,0.0002970398456762265,0.0006325025945386094,0,0,10
geometry,legacy_geometry_plus_loss_minus_primary_loss,legacy_geometry_plus_loss,primary_loss_weighted,query_primary,10,0.0014547085355516743,0.000359450548590732,0.0012438699459702968,0.0016630334693923273,0,0,10
geometry,full_inverse_geometry_only_minus_primary_unweighted,full_inverse_geometry_only,primary_unweighted,parent,10,0.0007237800963043543,0.00044812666947133966,0.0004574347517987224,0.0009808224451266043,0,0,10
geometry,full_inverse_geometry_only_minus_primary_unweighted,full_inverse_geometry_only,primary_unweighted,observed_unweighted,10,0.0011553251253322357,0.0003413659519137172,0.0009466413228533283,0.001346011977931202,0,0,10
geometry,full_inverse_geometry_only_minus_primary_unweighted,full_inverse_geometry_only,primary_unweighted,query_primary,10,0.004023479026632821,0.0002619832665271264,0.0038664584143348127,0.004173801660760238,0,0,10
geometry,full_inverse_joint_minus_primary_loss,full_inverse_joint,primary_loss_weighted,parent,10,0.0013668240176827541,0.0006290193047401169,0.0010756256042077194,0.0017860840993041205,0,0,10
geometry,full_inverse_joint_minus_primary_loss,full_inverse_joint,primary_loss_weighted,observed_unweighted,10,0.003017107190658204,0.0005868381922743137,0.002701980388653139,0.0033894371216780616,0,0,10
geometry,full_inverse_joint_minus_primary_loss,full_inverse_joint,primary_loss_weighted,query_primary,10,0.005221542757649246,0.0005192120232582593,0.0048834262428734615,0.00548592668347566,0,0,10
