n_basis,regularization_strength,parent_mean_difference,parent_std_difference,parent_wins,observed_unweighted_mean_difference,observed_unweighted_std_difference,observed_unweighted_wins,query_primary_mean_difference,query_primary_std_difference,query_primary_wins
512,0.01,-0.0007983866328637775,0.0003737059188110763,10,0.0023218066322038084,0.0005861971511154248,0,0.0007800394911214481,0.0001195597096872122,0
1024,0.01,-0.00032334275590036943,0.0004929631522705767,6,0.0019054340388202605,0.0004903440095781576,0,0.0014567366959654603,0.0001667561789666789,0
1280,0.01,-0.00033874590111302035,0.00032660701749502954,9,0.0019159401612768307,0.00039522514248215127,0,0.0012911981482352404,0.00012888637451080828,0
1536,0.01,-0.00017424999293259025,0.0002606588775513698,6,0.0018066270283821199,0.0002572851741437178,0,0.0014971869931590894,0.0001435027885859957,0
1792,0.01,2.4424655730097278e-05,0.00014276243772693437,4,0.0014935504873892207,0.00018082311162489004,0,0.0008221117579372105,7.20722843655512e-05,0
2048,0.01,0.00014582590337579998,0.0003119482214861314,4,0.0016459433398237396,0.0004047200044331714,0,0.0009933500079992003,9.97108875559399e-05,0
2560,0.01,0.0003715269334450707,0.00023673276732004967,0,0.0011976493155870598,0.00020393545411426814,0,0.0006505619240457595,0.00015711321880099407,0
3072,0.01,0.0005368342772447708,0.000312521802888397,0,0.0009378656393142202,0.0002332940219398098,0,0.0007512309276821498,0.00010399869516970178,0
3584,0.01,0.0006212302642440305,0.0005106907656496376,1,0.0009065395031153403,0.0003565161246676448,0,0.0011761543005250293,0.00015547637084178213,0
4096,0.01,0.0007927983356236408,0.0006410344359987104,1,0.00093056258943787,0.0004044893383545627,0,0.0011569754821127716,0.00023010673271913555,0
