model,previous_basis,n_basis,adjacent_validation_relative_reduction,adjacent_validation_reduction_percent
loss_weighted,512,768,0.22192726905404178,22.19272690540418
loss_weighted,768,1024,0.16251206556174713,16.25120655617471
loss_weighted,1024,1280,0.14818065282054346,14.818065282054347
loss_weighted,1280,1536,0.10825766287071427,10.825766287071426
loss_weighted,1536,1792,0.08071177250569107,8.071177250569107
loss_weighted,1792,2048,0.0463759211367495,4.63759211367495
loss_weighted,2048,2560,0.044985766098483135,4.498576609848314
loss_weighted,2560,3072,-0.011394126739448137,-1.1394126739448138
loss_weighted,3072,3584,-0.05477054539433144,-5.477054539433144
loss_weighted,3584,4096,-0.06983023491190492,-6.983023491190491
naive,512,768,0.22407702395739162,22.407702395739165
naive,768,1024,0.16209157822181275,16.209157822181275
naive,1024,1280,0.14630952726252433,14.630952726252435
naive,1280,1536,0.11186952929490733,11.186952929490733
naive,1536,1792,0.08960803655469801,8.960803655469801
naive,1792,2048,0.044600926199391086,4.460092619939108
naive,2048,2560,0.050699532269463866,5.069953226946387
naive,2560,3072,-0.006752199558191568,-0.6752199558191568
naive,3072,3584,-0.05459044893911069,-5.459044893911069
naive,3584,4096,-0.06063134604610373,-6.063134604610373
