replicate,label_seed,model_id,model_role,protocol,selector,loss_name,n_basis,regularization_strength,penalty_power
1,20261202,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
1,20261202,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
1,20261202,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
1,20261202,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4098,1e-06,2.0
1,20261202,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4098,1e-06,2.0
1,20261202,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
1,20261202,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
1,20261202,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
1,20261202,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
1,20261202,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4098,1e-06,2.0
1,20261202,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4098,1e-06,2.0
1,20261202,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
1,20261202,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4098,1e-06,2.0
1,20261202,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2818,1e-06,2.0
1,20261202,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
1,20261202,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
1,20261202,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
2,20261212,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
2,20261212,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
2,20261212,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
