model_id,model_role,protocol,selector,loss_name,loss_label,subset,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,vector_gain_through_origin,replicate,label_seed
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,4098,4095,1e-06,2.0,0.0,1489,0.05683766144464055,0.27406355949364997,0.2290276925732453,8.21864026130834,22.618797177495605,0.9488790739485534,1,20261202
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,4098,4095,1e-06,2.0,0.0,1489,0.039638199685012566,0.22536911380691485,0.18471823897906214,5.991407786578472,17.532654869883228,0.9613720885819447,1,20261202
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,4098,4095,1e-06,2.0,0.0,266,0.12593634043726248,0.2849608007694326,0.2514555495284815,8.12716376428163,20.00827554436753,0.9638176128015035,1,20261202
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2818,2815,1e-06,2.0,0.0,1489,0.06194400619039422,0.2566517312984408,0.21521357559865378,8.119790495961714,21.45134009182016,0.9518885614902698,1,20261202
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,2818,2815,1e-06,2.0,0.0,1489,0.04159198804602326,0.2050317773683213,0.16848148013919206,5.693568553706838,16.490982595000744,0.9677854531396625,1,20261202
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,2818,2815,1e-06,2.0,0.0,266,0.11627877503238056,0.24451842673270618,0.21693991505761082,7.633966757476341,19.32432964854264,0.9694689871028768,1,20261202
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.061908760035343964,0.2637359603304245,0.22099780356063406,8.497773065451351,22.56399687018231,0.9515097708522171,1,20261202
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.04192245152072279,0.2119650051609412,0.17408988476527731,6.032732385221924,17.4096847429761,0.9657639769836499,1,20261202
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.11925131343241244,0.2477227314449661,0.2199976108833012,8.19777131481777,20.425214046679432,0.9654760439018041,1,20261202
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.061908760035343964,0.2637359603304245,0.22099780356063406,8.497773065451351,22.56399687018231,0.9515097708522171,1,20261202
