selector,replicate,label_seed,loss_name,loss_label,loss_gamma,loss_cap,loss_ess_train,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,weighted_validation_nrmse_radial,unweighted_validation_nrmse_radial,weighted_validation_nrmse_tangential,weighted_validation_nrmse_3d,candidate_id
raw_operational_radial_validation,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,4098,4095,1e-06,2.0,0.0,0.0534225486996282,0.0395286012191015,0.2758704676800728,0.22713391342084,166
raw_hidden_3d_validation_diagnostic,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0588958929160298,0.0426255209097181,0.2450239840570963,0.20274411864416,161
practical_operational_radial_validation,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0561246278667527,0.0407175740828544,0.2512087495033694,0.2074619401376529,162
practical_hidden_3d_validation_diagnostic,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0561246278667527,0.0407175740828544,0.2512087495033694,0.2074619401376529,162
raw_operational_radial_validation,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,4098,4095,1e-06,2.0,0.0,0.0617888529150992,0.0451079972342916,0.2668167002702725,0.2229631665182181,166
raw_hidden_3d_validation_diagnostic,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,2050,2047,1e-06,2.0,0.0,0.0760337406177591,0.0526774539677073,0.2505461809627529,0.211197251796005,158
practical_operational_radial_validation,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0661021296896518,0.0472901652950633,0.2563204044392337,0.214820762934854,162
practical_hidden_3d_validation_diagnostic,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0661021296896518,0.0472901652950633,0.2563204044392337,0.214820762934854,162
raw_operational_radial_validation,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0634915916734292,0.0462874230929896,0.2933920835337365,0.2430733533435264,162
raw_hidden_3d_validation_diagnostic,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,2050,2047,1e-06,2.0,0.0,0.0723929248060556,0.0515247352198972,0.2707397350112718,0.2256281097103207,158
practical_operational_radial_validation,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0634915916734292,0.0462874230929896,0.2933920835337365,0.2430733533435264,162
practical_hidden_3d_validation_diagnostic,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0634915916734292,0.0462874230929896,0.2933920835337365,0.2430733533435264,162
