selector,replicate,label_seed,loss_name,loss_label,loss_gamma,loss_cap,loss_ess_train,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,weighted_validation_nrmse_radial,unweighted_validation_nrmse_radial,weighted_validation_nrmse_tangential,weighted_validation_nrmse_3d,candidate_id
unweighted_raw_radial_validation,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,4098,4095,1e-06,2.0,0.0,0.0534225486996282,0.0395286012191015,0.2758704676800728,0.22713391342084,166
unweighted_hidden_3d_validation_diagnostic,1,20261202,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0588958929160298,0.0426255209097181,0.2450239840570963,0.20274411864416,161
unweighted_raw_radial_validation,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,4098,4095,1e-06,2.0,0.0,0.0617888529150992,0.0451079972342916,0.2668167002702725,0.2229631665182181,166
unweighted_hidden_3d_validation_diagnostic,2,20261212,unweighted,Unweighted,0.0,1.0,6945.0,2050,2047,1e-06,2.0,0.0,0.0760337406177591,0.0526774539677073,0.2505461809627529,0.211197251796005,158
unweighted_raw_radial_validation,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0634915916734292,0.0462874230929896,0.2933920835337365,0.2430733533435264,162
unweighted_hidden_3d_validation_diagnostic,3,20261222,unweighted,Unweighted,0.0,1.0,6945.0,2050,2047,1e-06,2.0,0.0,0.0723929248060556,0.0515247352198972,0.2707397350112718,0.2256281097103207,158
unweighted_raw_radial_validation,4,20270102,unweighted,Unweighted,0.0,1.0,6945.0,3842,3839,1e-06,2.0,0.0,0.06170045774025,0.0476758892731655,0.2693095728051781,0.224479202429129,165
unweighted_hidden_3d_validation_diagnostic,4,20270102,unweighted,Unweighted,0.0,1.0,6945.0,2307,2304,1e-06,2.0,0.0,0.0755776039579858,0.0525066449732654,0.2499623257307216,0.2102244614986467,159
unweighted_raw_radial_validation,5,20270112,unweighted,Unweighted,0.0,1.0,6945.0,4354,4351,1e-06,2.0,0.0,0.0600135124301131,0.0448307601699948,0.2802009175228591,0.2335645709483839,167
unweighted_hidden_3d_validation_diagnostic,5,20270112,unweighted,Unweighted,0.0,1.0,6945.0,2050,2047,1e-06,2.0,0.0,0.0741869458426977,0.0520897513203171,0.2548091024121772,0.2142918858821854,158
unweighted_raw_radial_validation,6,20270122,unweighted,Unweighted,0.0,1.0,6945.0,2307,2304,1e-06,1.0,0.0,0.0856663356421417,0.0569498548497146,0.2689904922054871,0.2254203761722583,39
unweighted_hidden_3d_validation_diagnostic,6,20270122,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0917555449784315,0.0600380755079316,0.2641572445655549,0.222371795443022,162
unweighted_raw_radial_validation,7,20270202,unweighted,Unweighted,0.0,1.0,6945.0,4098,4095,1e-06,2.0,0.0,0.0667983285554148,0.0495689705169656,0.268362991347101,0.2244219892970933,166
unweighted_hidden_3d_validation_diagnostic,7,20270202,unweighted,Unweighted,0.0,1.0,6945.0,2562,2559,1e-06,2.0,0.0,0.0711169409650366,0.0486676859300117,0.2460128659351606,0.2067477145137399,160
unweighted_raw_radial_validation,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,3330,3327,1e-06,2.0,0.0,0.0545608538092429,0.0417622521975017,0.2864228016418754,0.2350072664288178,163
unweighted_hidden_3d_validation_diagnostic,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,2307,2304,1e-06,2.0,0.0,0.0603919039034837,0.0444535717980888,0.2697147747562895,0.2220690250527842,159
unweighted_raw_radial_validation,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,4354,4351,1e-06,2.0,0.0,0.0627028484163234,0.0470079415056387,0.2724450198800641,0.2256184494109043,167
unweighted_hidden_3d_validation_diagnostic,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0671948936468052,0.0466552679427905,0.2510631004719851,0.2088481003495441,161
unweighted_raw_radial_validation,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,4354,4351,1e-06,2.0,0.0,0.0626944391284198,0.0455585093748225,0.2774558656604627,0.2288010877073395,167
unweighted_hidden_3d_validation_diagnostic,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0675071259384456,0.047239578867852,0.2645103457556393,0.2188855822468397,161
