selector,replicate,label_seed,loss_name,loss_label,loss_mode,loss_gamma,loss_cap,loss_ess_train,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,octant_weighted_validation_nrmse_radial,global_weighted_validation_nrmse_radial,unweighted_validation_nrmse_radial,octant_weighted_validation_nrmse_tangential,octant_weighted_validation_nrmse_3d,global_weighted_validation_nrmse_3d,weighted_validation_nrmse_radial,weighted_validation_nrmse_tangential,weighted_validation_nrmse_3d,candidate_id
family_practical_configuration,1,20261203,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0583561220609598,0.0604992847378258,0.0480595814938461,0.3190534642593857,0.2584807492397186,0.262704678130726,0.0583561220609598,0.3190534642593857,0.2584807492397186,165
family_practical_configuration,1,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5328.819832714888,3842,3839,1e-06,2.0,0.0,0.0597528939776318,0.0623338623029609,0.0570265491280576,0.3400882420238112,0.2753291424628303,0.2842482746345806,0.0597528939776318,0.3400882420238112,0.2753291424628303,165
family_practical_configuration,1,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5838.46635114063,3842,3839,1e-06,2.0,0.0,0.0591786314329152,0.0616484019872677,0.0552303609643159,0.3365901983148642,0.272500304682018,0.2812895753514201,0.0591786314329152,0.3365901983148642,0.272500304682018,165
family_practical_configuration,2,20261213,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.054287299193344,0.0562715279905802,0.0493267113638307,0.3199915761765495,0.2569805516497486,0.2624064765191301,0.054287299193344,0.3199915761765495,0.2569805516497486,165
family_practical_configuration,2,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5343.30310652011,3842,3839,1e-06,2.0,0.0,0.0565821033926522,0.0591980739876859,0.0770031223115379,0.3627937140831408,0.2909859982596482,0.3043899017057548,0.0565821033926522,0.3627937140831408,0.2909859982596482,165
family_practical_configuration,2,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5851.596444693968,3842,3839,1e-06,2.0,0.0,0.0559024043141629,0.0584423915513581,0.0706190427274363,0.3522705040665496,0.2826145865732826,0.294945187573274,0.0559024043141629,0.3522705040665496,0.2826145865732826,165
family_practical_configuration,3,20261223,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0625123944141569,0.0649056709579062,0.0566854957715851,0.3368527143264375,0.2676498351970406,0.2758934530038162,0.0625123944141569,0.3368527143264375,0.2676498351970406,165
family_practical_configuration,3,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5334.852773110423,3842,3839,1e-06,2.0,0.0,0.0656326415449172,0.0683459820545109,0.0822784341838071,0.3895837759757198,0.3089803119655781,0.3208872935388349,0.0656326415449172,0.3895837759757198,0.3089803119655781,165
family_practical_configuration,3,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5835.01177597277,3842,3839,1e-06,2.0,0.0,0.0647475593817683,0.0675645472615053,0.0778781978528216,0.3797806026137075,0.3012679083897152,0.313680795990142,0.0647475593817683,0.3797806026137075,0.3012679083897152,165
family_practical_configuration,4,20270103,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0609897188982775,0.0633399905087964,0.0515491821637748,0.3294941338348855,0.2633574109628303,0.2708922421797523,0.0609897188982775,0.3294941338348855,0.2633574109628303,165
family_practical_configuration,4,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5330.09535482709,3842,3839,1e-06,2.0,0.0,0.0621463648037908,0.0646703666336634,0.0571100756819565,0.3662948071812195,0.2923016570445664,0.3051540069648557,0.0621463648037908,0.3662948071812195,0.2923016570445664,165
family_practical_configuration,4,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5833.461475131774,3842,3839,1e-06,2.0,0.0,0.0616576286256091,0.0642020519077566,0.0560213677551395,0.3592801627800543,0.2867600833765139,0.2993304625349178,0.0616576286256091,0.3592801627800543,0.2867600833765139,165
family_practical_configuration,5,20270113,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0711894086832359,0.0722535570730396,0.0564884407251307,0.3389025401359793,0.2689930643969632,0.2702897789636239,0.0711894086832359,0.3389025401359793,0.2689930643969632,165
family_practical_configuration,5,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5349.568778129454,3842,3839,1e-06,2.0,0.0,0.0718385170583243,0.073096588923185,0.0599995369674927,0.3566192926766512,0.2827467021304128,0.287585880551342,0.0718385170583243,0.3566192926766512,0.2827467021304128,165
family_practical_configuration,5,20270113,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5850.0888663454025,3842,3839,1e-06,2.0,0.0,0.0715178147860714,0.072787009812359,0.059053873000291,0.3536347720234661,0.2804080567456727,0.2851479834588319,0.0715178147860714,0.3536347720234661,0.2804080567456727,165
family_practical_configuration,6,20270123,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0586494999794248,0.0602356855153771,0.0501740640037119,0.3317076961685978,0.2664084213536989,0.2713903436038462,0.0586494999794248,0.3317076961685978,0.2664084213536989,165
family_practical_configuration,6,20270123,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5351.917653305233,3842,3839,1e-06,2.0,0.0,0.0601734188256268,0.0620100452310144,0.0596136319661211,0.3560342454200873,0.2857269225438342,0.2933849141116904,0.0601734188256268,0.3560342454200873,0.2857269225438342,165
family_practical_configuration,6,20270123,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5860.622967590792,3842,3839,1e-06,2.0,0.0,0.059502312810612,0.061351844574508,0.0577795925096573,0.3512704105929785,0.2819141729670459,0.2892563033593869,0.059502312810612,0.3512704105929785,0.2819141729670459,165
family_practical_configuration,7,20270203,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0603662400043214,0.0628986419566159,0.0510096529273936,0.3200429575047298,0.2565950335701872,0.2636952901607591,0.0603662400043214,0.3200429575047298,0.2565950335701872,165
family_practical_configuration,7,20270203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5340.967112211094,3842,3839,1e-06,2.0,0.0,0.0617484822762828,0.0645407449067149,0.0594354543947089,0.3426301680931451,0.2744590653956143,0.2840169076958207,0.0617484822762828,0.3426301680931451,0.2744590653956143,165
family_practical_configuration,7,20270203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5841.891171022348,3842,3839,1e-06,2.0,0.0,0.0610150428464289,0.0638030729159142,0.0565445433669093,0.3374803649499446,0.2703501335135563,0.2805050391905074,0.0610150428464289,0.3374803649499446,0.2703501335135563,165
family_practical_configuration,8,20270213,unweighted,Unweighted,none,0.0,1.0,7009.0,3842,3839,1e-06,2.0,0.0,0.0631010113202581,0.0651806883656424,0.0532169420842655,0.3444353698249349,0.2741441855491432,0.2804929378388252,0.0631010113202581,0.3444353698249349,0.2741441855491432,165
family_practical_configuration,8,20270213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",global,0.75,20.0,5331.960582674746,3842,3839,1e-06,2.0,0.0,0.0665134359076162,0.068389713642543,0.0729355481413369,0.371569611992703,0.2956064413730129,0.3041624799590754,0.0665134359076162,0.371569611992703,0.2956064413730129,165
family_practical_configuration,8,20270213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",region,1.0,20.0,5837.695244441848,3842,3839,1e-06,2.0,0.0,0.0650780277523653,0.0671200099405351,0.0688187493683141,0.364334275904273,0.2898383336081187,0.2992112240290493,0.0650780277523653,0.364334275904273,0.2898383336081187,165
