protocol,label_seed,loss_name,loss_label,octant_subset,n_octants,octant_ids,missing_octant_ids,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_worst,nrmse_3d_best,nrmse_3d_range
retuned_practical,20261203,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19582964604732278,0.07861657599236926,0.3149888767354832,0.08754542296819356,0.22744345376728964
retuned_practical,20261203,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20179494483514396,0.08726373932972271,0.3452095583211476,0.05785375652805065,0.28735580179309694
retuned_raw,20261203,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19933797236486883,0.07487229352795303,0.31230760626976056,0.09710945855705594,0.21519814771270462
retuned_raw,20261203,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2082799598323797,0.08649892806291921,0.3556947906001374,0.06248620905688418,0.29320858154325324
matched_unweighted_practical,20261203,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19582964604732278,0.07861657599236926,0.3149888767354832,0.08754542296819356,0.22744345376728964
matched_unweighted_practical,20261203,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20179494483514396,0.08726373932972271,0.3452095583211476,0.05785375652805065,0.28735580179309694
matched_raw_operational_structure,20261203,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19933797236486883,0.07487229352795303,0.31230760626976056,0.09710945855705594,0.21519814771270462
matched_raw_operational_structure,20261203,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2082799598323797,0.08649892806291921,0.3556947906001374,0.06248620905688418,0.29320858154325324
retuned_practical,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2103924623554344,0.07323984472749817,0.3283609941121514,0.10794875541912854,0.22041223869302287
retuned_practical,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2241039387772915,0.08548662139495314,0.3653006052900683,0.07898702296131256,0.28631358232875576
retuned_raw,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2173551991804136,0.06674584950810268,0.3265354232107415,0.13145608762986655,0.19507933558087498
retuned_raw,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23350390876152893,0.08295437194021375,0.3812722570135562,0.09333641381621074,0.28793584319734544
matched_unweighted_practical,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2103924623554344,0.07323984472749817,0.3283609941121514,0.10794875541912854,0.22041223869302287
matched_unweighted_practical,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2241039387772915,0.08548662139495314,0.3653006052900683,0.07898702296131256,0.28631358232875576
matched_raw_operational_structure,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2173551991804136,0.06674584950810268,0.3265354232107415,0.13145608762986655,0.19507933558087498
matched_raw_operational_structure,20261203,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23350390876152893,0.08295437194021375,0.3812722570135562,0.09333641381621074,0.28793584319734544
retuned_practical,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20746094277153693,0.0739017172096382,0.3248825706104845,0.10578431311561705,0.21909825749486744
retuned_practical,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21937886945979224,0.08463432021519741,0.35960074677496245,0.07501639187669436,0.2845843548982681
retuned_raw,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21354603587221452,0.06789794623285567,0.32198689509096495,0.12875483680947117,0.19323205828149378
retuned_raw,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22635513377982774,0.08325252032799578,0.3707849476771304,0.08684452792026254,0.28394041975686785
matched_unweighted_practical,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20746094277153693,0.0739017172096382,0.3248825706104845,0.10578431311561705,0.21909825749486744
matched_unweighted_practical,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21937886945979224,0.08463432021519741,0.35960074677496245,0.07501639187669436,0.2845843548982681
matched_raw_operational_structure,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21354603587221452,0.06789794623285567,0.32198689509096495,0.12875483680947117,0.19323205828149378
matched_raw_operational_structure,20261203,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22635513377982774,0.08325252032799578,0.3707849476771304,0.08684452792026254,0.28394041975686785
retuned_practical,20261213,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19492144806113976,0.09365858786547097,0.3502921062637521,0.06875775708438721,0.28153434917936493
retuned_practical,20261213,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20417987489807285,0.09241217875551337,0.3783853471459428,0.05989357006627392,0.31849177707966886
retuned_raw,20261213,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19578381084625546,0.09033260823017085,0.3463790428719401,0.08010710526142409,0.26627193761051604
retuned_raw,20261213,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20895829046269007,0.08800579919567196,0.37159627201261974,0.060791769210677554,0.31080450280194216
matched_unweighted_practical,20261213,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19492144806113976,0.09365858786547097,0.3502921062637521,0.06875775708438721,0.28153434917936493
matched_unweighted_practical,20261213,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20417987489807285,0.09241217875551337,0.3783853471459428,0.05989357006627392,0.31849177707966886
matched_raw_operational_structure,20261213,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19578381084625546,0.09033260823017085,0.3463790428719401,0.08010710526142409,0.26627193761051604
matched_raw_operational_structure,20261213,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.20895829046269007,0.08800579919567196,0.37159627201261974,0.060791769210677554,0.31080450280194216
retuned_practical,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20748005118619672,0.0890203315197958,0.3595068397232675,0.09401336860792618,0.26549347111534133
retuned_practical,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22738938369058992,0.0907443671367786,0.3935070159433871,0.07546179292797577,0.3180452230154113
retuned_raw,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21096112720993712,0.08464162547852795,0.3578541766172669,0.11251836406090912,0.24533581255635775
retuned_raw,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2338187123771699,0.0870360937726933,0.3900620907235989,0.08011913209354017,0.3099429586300587
matched_unweighted_practical,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20748005118619672,0.0890203315197958,0.3595068397232675,0.09401336860792618,0.26549347111534133
matched_unweighted_practical,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22738938369058992,0.0907443671367786,0.3935070159433871,0.07546179292797577,0.3180452230154113
matched_raw_operational_structure,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21096112720993712,0.08464162547852795,0.3578541766172669,0.11251836406090912,0.24533581255635775
matched_raw_operational_structure,20261213,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2338187123771699,0.0870360937726933,0.3900620907235989,0.08011913209354017,0.3099429586300587
retuned_practical,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2044115986485836,0.08919674331259005,0.35637189967645133,0.09019630895186477,0.2661755907245866
retuned_practical,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22186160462626917,0.09015295044138243,0.38794377791799406,0.06980432336883059,0.3181394545491635
retuned_raw,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2084221187938477,0.08456351641395345,0.3534655060284246,0.11047224376347864,0.24299326226494594
retuned_raw,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22978324024274757,0.08621178209762408,0.38132522285773135,0.076511835414936,0.30481338744279535
matched_unweighted_practical,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2044115986485836,0.08919674331259005,0.35637189967645133,0.09019630895186477,0.2661755907245866
matched_unweighted_practical,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22186160462626917,0.09015295044138243,0.38794377791799406,0.06980432336883059,0.3181394545491635
matched_raw_operational_structure,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2084221187938477,0.08456351641395345,0.3534655060284246,0.11047224376347864,0.24299326226494594
matched_raw_operational_structure,20261213,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22978324024274757,0.08621178209762408,0.38132522285773135,0.076511835414936,0.30481338744279535
retuned_practical,20261223,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19823024739002282,0.08303687370862003,0.34413723576604366,0.08054336839202464,0.263593867374019
retuned_practical,20261223,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2108389730046582,0.09592768408652538,0.3732577058458524,0.0625656170993901,0.31069208874646226
retuned_raw,20261223,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21149769484303937,0.08438273557225087,0.37803243646334495,0.0991321650133554,0.2789002714499895
retuned_raw,20261223,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22865599438016018,0.11376082201419849,0.48158803516607596,0.07685147056615363,0.40473656459992235
matched_unweighted_practical,20261223,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.19823024739002282,0.08303687370862003,0.34413723576604366,0.08054336839202464,0.263593867374019
matched_unweighted_practical,20261223,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2108389730046582,0.09592768408652538,0.3732577058458524,0.0625656170993901,0.31069208874646226
matched_raw_operational_structure,20261223,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21149769484303937,0.08438273557225087,0.37803243646334495,0.0991321650133554,0.2789002714499895
matched_raw_operational_structure,20261223,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22865599438016018,0.11376082201419849,0.48158803516607596,0.07685147056615363,0.40473656459992235
retuned_practical,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21929266933356809,0.07618088009015425,0.36233122327566136,0.11657645737615785,0.2457547658995035
retuned_practical,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23470811804046787,0.09337760393802541,0.39320712197497865,0.08912516194544243,0.30408196002953625
retuned_raw,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2333524393149329,0.0782050011282671,0.3998332914372412,0.13892177461060423,0.260911516826637
retuned_raw,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2577524206518049,0.11300371568664379,0.5121715183395382,0.11094464662114274,0.4012268717183955
matched_unweighted_practical,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21929266933356809,0.07618088009015425,0.36233122327566136,0.11657645737615785,0.2457547658995035
matched_unweighted_practical,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23470811804046787,0.09337760393802541,0.39320712197497865,0.08912516194544243,0.30408196002953625
matched_raw_operational_structure,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2333524393149329,0.0782050011282671,0.3998332914372412,0.13892177461060423,0.260911516826637
matched_raw_operational_structure,20261223,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2577524206518049,0.11300371568664379,0.5121715183395382,0.11094464662114274,0.4012268717183955
retuned_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2125287820937224,0.07891225210224767,0.35739913083123814,0.10836634659419224,0.2490327842370459
retuned_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.227611035933376,0.09236173643259812,0.38556686484840885,0.0864550801823534,0.2991117846660555
retuned_raw,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2276370133317514,0.08019684466051531,0.3945040587057435,0.1295787315050239,0.2649253272007196
retuned_raw,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.24839610029963952,0.11521378430454716,0.5015558461349798,0.09472483011548714,0.4068310160194927
matched_unweighted_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2125287820937224,0.07891225210224767,0.35739913083123814,0.10836634659419224,0.2490327842370459
matched_unweighted_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.227611035933376,0.09236173643259812,0.38556686484840885,0.0864550801823534,0.2991117846660555
