replicate,label_seed,region_id,m_lim,subset,n
1,20261203,0,10.95592439771875,train,304
1,20261203,0,10.95592439771875,validation,65
1,20261203,0,10.95592439771875,test,66
1,20261203,1,11.25592439771875,train,354
1,20261203,1,11.25592439771875,validation,76
1,20261203,1,11.25592439771875,test,76
1,20261203,2,11.55592439771875,train,418
1,20261203,2,11.55592439771875,validation,90
1,20261203,2,11.55592439771875,test,89
1,20261203,3,11.85592439771875,train,548
1,20261203,3,11.85592439771875,validation,117
1,20261203,3,11.85592439771875,test,118
1,20261203,4,12.15592439771875,train,464
1,20261203,4,12.15592439771875,validation,99
1,20261203,4,12.15592439771875,test,100
1,20261203,5,12.45592439771875,train,858
1,20261203,5,12.45592439771875,validation,184
1,20261203,5,12.45592439771875,test,183
1,20261203,6,12.75592439771875,train,1550
1,20261203,6,12.75592439771875,validation,332
1,20261203,6,12.75592439771875,test,332
1,20261203,7,13.05592439771875,train,2513
1,20261203,7,13.05592439771875,validation,538
1,20261203,7,13.05592439771875,test,539
2,20261213,0,10.95592439771875,train,304
2,20261213,0,10.95592439771875,validation,65
2,20261213,0,10.95592439771875,test,66
2,20261213,1,11.25592439771875,train,354
2,20261213,1,11.25592439771875,validation,76
2,20261213,1,11.25592439771875,test,76
2,20261213,2,11.55592439771875,train,418
2,20261213,2,11.55592439771875,validation,90
2,20261213,2,11.55592439771875,test,89
2,20261213,3,11.85592439771875,train,548
2,20261213,3,11.85592439771875,validation,117
2,20261213,3,11.85592439771875,test,118
2,20261213,4,12.15592439771875,train,464
2,20261213,4,12.15592439771875,validation,99
2,20261213,4,12.15592439771875,test,100
2,20261213,5,12.45592439771875,train,858
2,20261213,5,12.45592439771875,validation,184
2,20261213,5,12.45592439771875,test,183
2,20261213,6,12.75592439771875,train,1550
2,20261213,6,12.75592439771875,validation,332
2,20261213,6,12.75592439771875,test,332
2,20261213,7,13.05592439771875,train,2513
2,20261213,7,13.05592439771875,validation,538
2,20261213,7,13.05592439771875,test,539
3,20261223,0,10.95592439771875,train,304
3,20261223,0,10.95592439771875,validation,65
3,20261223,0,10.95592439771875,test,66
3,20261223,1,11.25592439771875,train,354
3,20261223,1,11.25592439771875,validation,76
3,20261223,1,11.25592439771875,test,76
3,20261223,2,11.55592439771875,train,418
3,20261223,2,11.55592439771875,validation,90
3,20261223,2,11.55592439771875,test,89
3,20261223,3,11.85592439771875,train,548
3,20261223,3,11.85592439771875,validation,117
3,20261223,3,11.85592439771875,test,118
3,20261223,4,12.15592439771875,train,464
3,20261223,4,12.15592439771875,validation,99
3,20261223,4,12.15592439771875,test,100
3,20261223,5,12.45592439771875,train,858
3,20261223,5,12.45592439771875,validation,184
3,20261223,5,12.45592439771875,test,183
3,20261223,6,12.75592439771875,train,1550
3,20261223,6,12.75592439771875,validation,332
3,20261223,6,12.75592439771875,test,332
3,20261223,7,13.05592439771875,train,2513
3,20261223,7,13.05592439771875,validation,538
3,20261223,7,13.05592439771875,test,539
4,20270103,0,10.95592439771875,train,304
4,20270103,0,10.95592439771875,validation,65
4,20270103,0,10.95592439771875,test,66
4,20270103,1,11.25592439771875,train,354
4,20270103,1,11.25592439771875,validation,76
4,20270103,1,11.25592439771875,test,76
4,20270103,2,11.55592439771875,train,418
4,20270103,2,11.55592439771875,validation,90
4,20270103,2,11.55592439771875,test,89
4,20270103,3,11.85592439771875,train,548
4,20270103,3,11.85592439771875,validation,117
4,20270103,3,11.85592439771875,test,118
4,20270103,4,12.15592439771875,train,464
4,20270103,4,12.15592439771875,validation,99
4,20270103,4,12.15592439771875,test,100
4,20270103,5,12.45592439771875,train,858
4,20270103,5,12.45592439771875,validation,184
4,20270103,5,12.45592439771875,test,183
4,20270103,6,12.75592439771875,train,1550
4,20270103,6,12.75592439771875,validation,332
4,20270103,6,12.75592439771875,test,332
4,20270103,7,13.05592439771875,train,2513
4,20270103,7,13.05592439771875,validation,538
4,20270103,7,13.05592439771875,test,539
5,20270113,0,10.95592439771875,train,304
5,20270113,0,10.95592439771875,validation,65
5,20270113,0,10.95592439771875,test,66
5,20270113,1,11.25592439771875,train,354
5,20270113,1,11.25592439771875,validation,76
5,20270113,1,11.25592439771875,test,76
5,20270113,2,11.55592439771875,train,418
5,20270113,2,11.55592439771875,validation,90
5,20270113,2,11.55592439771875,test,89
5,20270113,3,11.85592439771875,train,548
5,20270113,3,11.85592439771875,validation,117
5,20270113,3,11.85592439771875,test,118
5,20270113,4,12.15592439771875,train,464
5,20270113,4,12.15592439771875,validation,99
5,20270113,4,12.15592439771875,test,100
5,20270113,5,12.45592439771875,train,858
5,20270113,5,12.45592439771875,validation,184
5,20270113,5,12.45592439771875,test,183
5,20270113,6,12.75592439771875,train,1550
5,20270113,6,12.75592439771875,validation,332
5,20270113,6,12.75592439771875,test,332
5,20270113,7,13.05592439771875,train,2513
5,20270113,7,13.05592439771875,validation,538
5,20270113,7,13.05592439771875,test,539
6,20270123,0,10.95592439771875,train,304
6,20270123,0,10.95592439771875,validation,65
6,20270123,0,10.95592439771875,test,66
6,20270123,1,11.25592439771875,train,354
6,20270123,1,11.25592439771875,validation,76
6,20270123,1,11.25592439771875,test,76
6,20270123,2,11.55592439771875,train,418
6,20270123,2,11.55592439771875,validation,90
6,20270123,2,11.55592439771875,test,89
6,20270123,3,11.85592439771875,train,548
6,20270123,3,11.85592439771875,validation,117
6,20270123,3,11.85592439771875,test,118
6,20270123,4,12.15592439771875,train,464
6,20270123,4,12.15592439771875,validation,99
6,20270123,4,12.15592439771875,test,100
6,20270123,5,12.45592439771875,train,858
6,20270123,5,12.45592439771875,validation,184
6,20270123,5,12.45592439771875,test,183
6,20270123,6,12.75592439771875,train,1550
6,20270123,6,12.75592439771875,validation,332
6,20270123,6,12.75592439771875,test,332
6,20270123,7,13.05592439771875,train,2513
6,20270123,7,13.05592439771875,validation,538
6,20270123,7,13.05592439771875,test,539
7,20270203,0,10.95592439771875,train,304
7,20270203,0,10.95592439771875,validation,65
7,20270203,0,10.95592439771875,test,66
7,20270203,1,11.25592439771875,train,354
7,20270203,1,11.25592439771875,validation,76
7,20270203,1,11.25592439771875,test,76
7,20270203,2,11.55592439771875,train,418
7,20270203,2,11.55592439771875,validation,90
7,20270203,2,11.55592439771875,test,89
7,20270203,3,11.85592439771875,train,548
7,20270203,3,11.85592439771875,validation,117
7,20270203,3,11.85592439771875,test,118
7,20270203,4,12.15592439771875,train,464
7,20270203,4,12.15592439771875,validation,99
7,20270203,4,12.15592439771875,test,100
7,20270203,5,12.45592439771875,train,858
7,20270203,5,12.45592439771875,validation,184
7,20270203,5,12.45592439771875,test,183
7,20270203,6,12.75592439771875,train,1550
7,20270203,6,12.75592439771875,validation,332
