selector,replicate,label_seed,loss_name,loss_label,loss_mode,loss_gamma,loss_cap,loss_ess_train,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,octant_weighted_validation_nrmse_radial,global_weighted_validation_nrmse_radial,unweighted_validation_nrmse_radial,octant_weighted_validation_nrmse_tangential,octant_weighted_validation_nrmse_3d,global_weighted_validation_nrmse_3d,weighted_validation_nrmse_radial,weighted_validation_nrmse_tangential,weighted_validation_nrmse_3d,candidate_id
unweighted_raw_radial_validation,1,20261203,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0570751421281543,0.0592877914744519,0.0474707159287068,0.3224648592651449,0.2610939996053206,0.2667065064195571,0.0570751421281543,0.3224648592651449,0.2610939996053206,167
unweighted_hidden_3d_validation_diagnostic,1,20261203,unweighted,Unweighted,none,0.0,1.0,7009.0,3586,3583,1e-06,2.0,0.0,0.0598454835823525,0.0618835190631062,0.0492000401935067,0.3173384840757045,0.2572382995495187,0.2604834981779902,0.0598454835823525,0.3173384840757045,0.2572382995495187,164
unweighted_raw_radial_validation,2,20261213,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0527566757321905,0.0551476418009406,0.0505621188678822,0.3232527959949169,0.2594416637825798,0.267620051467109,0.0527566757321905,0.3232527959949169,0.2594416637825798,167
unweighted_hidden_3d_validation_diagnostic,2,20261213,unweighted,Unweighted,none,0.0,1.0,7009.0,2050,2047,1e-06,2.0,0.0,0.0747473234912517,0.075229526692904,0.05830537798452,0.3152509924640497,0.2551345236115635,0.260450886258935,0.0747473234912517,0.3152509924640497,0.2551345236115635,158
unweighted_raw_radial_validation,3,20261223,unweighted,Unweighted,none,0.0,1.0,7009.0,2818,2815,1e-06,2.0,0.0,0.0621347815521116,0.064614906549197,0.0539279106164707,0.3487103695976087,0.2768460322816475,0.2831055788112718,0.0621347815521116,0.3487103695976087,0.2768460322816475,161
unweighted_hidden_3d_validation_diagnostic,3,20261223,unweighted,Unweighted,none,0.0,1.0,7009.0,2562,2559,1e-06,2.0,0.0,0.0665991386793141,0.0691115268270275,0.0552025823967017,0.3344511727766039,0.2661602893566425,0.2708957627153379,0.0665991386793141,0.3344511727766039,0.2661602893566425,160
unweighted_raw_radial_validation,4,20270103,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0594850595846348,0.0618397683500425,0.0511234019822112,0.3320606151390639,0.2652399961955949,0.2713655212860655,0.0594850595846348,0.3320606151390639,0.2652399961955949,167
unweighted_hidden_3d_validation_diagnostic,4,20270103,unweighted,Unweighted,none,0.0,1.0,7009.0,1795,1792,1e-06,2.0,0.0,0.0805671392502192,0.0820742704230979,0.0644514718535418,0.3188479365883183,0.2570455178796157,0.2608737739042036,0.0805671392502192,0.3188479365883183,0.2570455178796157,157
unweighted_raw_radial_validation,5,20270113,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.070146188606076,0.0711289652975747,0.0562481332458672,0.337231980732719,0.2675965257297276,0.2689988198608095,0.070146188606076,0.337231980732719,0.2675965257297276,167
unweighted_hidden_3d_validation_diagnostic,5,20270113,unweighted,Unweighted,none,0.0,1.0,7009.0,4098,4095,1e-06,2.0,0.0,0.0705402830179973,0.0715288876873646,0.0566119227628646,0.3370390262482964,0.2674876087947945,0.2685962778262031,0.0705402830179973,0.3370390262482964,0.2674876087947945,166
unweighted_raw_radial_validation,6,20270123,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0560678127575958,0.0575876584773383,0.0488121864016616,0.3323773220932873,0.2667333386335365,0.2715070176311351,0.0560678127575958,0.3323773220932873,0.2667333386335365,167
unweighted_hidden_3d_validation_diagnostic,6,20270123,unweighted,Unweighted,none,0.0,1.0,7009.0,1795,1792,1e-06,2.0,0.0,0.0816665721558198,0.0825713983806289,0.0645632190167925,0.3250338134564421,0.2634005548446667,0.2649559018706276,0.0816665721558198,0.3250338134564421,0.2634005548446667,157
unweighted_raw_radial_validation,7,20270203,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0564419345174564,0.0582682537114135,0.0477145599068092,0.3450713761154123,0.2759574679940525,0.3045976493401088,0.0564419345174564,0.3450713761154123,0.2759574679940525,167
unweighted_hidden_3d_validation_diagnostic,7,20270203,unweighted,Unweighted,none,0.0,1.0,7009.0,2307,2304,1e-06,2.0,0.0,0.0712760033104401,0.0730018014390828,0.0572962852786532,0.3180409633864533,0.2560637002846772,0.2607532252755283,0.0712760033104401,0.3180409633864533,0.2560637002846772,159
unweighted_raw_radial_validation,8,20270213,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.060720834614275,0.0627609966389586,0.0513673743656099,0.3383070937096207,0.2691578740524133,0.274515484653194,0.060720834614275,0.3383070937096207,0.2691578740524133,167
unweighted_hidden_3d_validation_diagnostic,8,20270213,unweighted,Unweighted,none,0.0,1.0,7009.0,4098,4095,1e-06,2.0,0.0,0.0616053331595314,0.0635647924812013,0.0522231214574813,0.336235135804793,0.267618004546059,0.2727955631176823,0.0616053331595314,0.336235135804793,0.267618004546059,166
unweighted_raw_radial_validation,9,20270223,unweighted,Unweighted,none,0.0,1.0,7009.0,4098,4095,1e-06,2.0,0.0,0.061031445667218,0.0630575311512256,0.0502760813398531,0.3273152389787077,0.2635939089597126,0.2729092696878346,0.061031445667218,0.3273152389787077,0.2635939089597126,166
unweighted_hidden_3d_validation_diagnostic,9,20270223,unweighted,Unweighted,none,0.0,1.0,7009.0,4354,4351,1e-06,2.0,0.0,0.0612940680859001,0.063333718807023,0.0503866915725574,0.3247285115146441,0.2615739446672315,0.2701441928055195,0.0612940680859001,0.3247285115146441,0.2615739446672315,167
unweighted_raw_radial_validation,10,20270303,unweighted,Unweighted,none,0.0,1.0,7009.0,4098,4095,1e-06,2.0,0.0,0.0565695221890809,0.0586266541697214,0.0478338957130525,0.337613449064744,0.272266825292879,0.2815954151602407,0.0565695221890809,0.337613449064744,0.272266825292879,166
unweighted_hidden_3d_validation_diagnostic,10,20270303,unweighted,Unweighted,none,0.0,1.0,7009.0,1795,1792,1e-06,2.0,0.0,0.0812268918325891,0.0821475114890761,0.0628665264931499,0.3239559993997413,0.2637548277210591,0.2654851942754969,0.0812268918325891,0.3239559993997413,0.2637548277210591,157
